,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,fmri-dmt.csv,bibletime.csv,elateportal.csv,sandiaportals.csv,ftm.csv
alpine.csv,4.0,2.0,3.0,17.0,0.0,0.0,11.0,0.0,67.0,0.0,0.0,0.0,2.0
badtrinity-zero.csv,0.0,1.0,0.0,5.0,4.0,4.0,13.0,1.0,9.0,0.0,0.0,70.0,2.0
bibletime.csv,0.0,0.0,0.0,7.0,3.0,10.0,0.0,1.0,6.0,0.0,1.0,2.0,1.0
critterding.csv,0.0,1.0,0.0,6.0,0.0,24.0,1.0,1.0,11.0,0.0,2.0,0.0,1.0
elateportal.csv,0.0,1.0,4.0,11.0,0.0,19.0,11.0,3.0,0.0,0.0,0.0,4.0,0.0
fmri-dmt.csv,2.0,74.0,0.0,0.0,4.0,0.0,1.0,95.0,0.0,0.0,49.0,1.0,0.0
ftm.csv,4.0,2.0,0.0,16.0,0.0,4.0,7.0,3.0,13.0,0.0,0.0,0.0,0.0
gusanos.csv,0.0,2.0,0.0,11.0,3.0,23.0,16.0,0.0,12.0,0.0,0.0,0.0,4.0
monetdb.csv,0.0,3.0,0.0,12.0,0.0,8.0,5.0,3.0,15.0,1.0,0.0,3.0,4.0
quarkplayer.csv,0.0,74.0,160.0,132.0,3.0,152.0,0.0,0.0,67.0,79.0,49.0,70.0,131.0
reactos-mirror.csv,0.0,2.0,0.0,4.0,5.0,4.0,11.0,4.0,6.0,0.0,3.0,4.0,1.0
sandiaportals.csv,0.0,0.0,0.0,9.0,1.0,4.0,9.0,2.0,1.0,0.0,1.0,0.0,0.0
xbplayer.csv,1.0,2.0,1.0,0.0,7.0,6.0,11.0,0.0,1.0,1.0,0.0,0.0,1.0
