,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,7.0,0.0,8.0,8.0,0.0
betoffice.csv,0.0,0.0,13.0,0.0,0.0,10.0,2.0,0.0,17.0,0.0,1.0,0.0,25.0,5.0,0.0,0.0,11.0,0.0
bionote.csv,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,12.0,6.0,1.0
bnetd.csv,0.0,0.0,16.0,2.0,0.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,11.0,1.0
elvishrayrenderer.csv,0.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,11.0,3.0,3.0,7.0,6.0,0.0
emisview.csv,0.0,105.0,1.0,1.0,0.0,5.0,0.0,1.0,1.0,95.0,0.0,0.0,7.0,1.0,0.0,1.0,6.0,0.0
findbugs.csv,0.0,0.0,18.0,2.0,0.0,12.0,2.0,0.0,5.0,0.0,10.0,0.0,16.0,4.0,0.0,0.0,11.0,1.0
hazelcast.csv,0.0,0.0,0.0,10.0,0.0,7.0,0.0,0.0,9.0,0.0,4.0,0.0,10.0,1.0,0.0,3.0,6.0,0.0
jitterbit.csv,0.0,0.0,6.0,0.0,5.0,6.0,0.0,1.0,1.0,1.0,1.0,0.0,13.0,6.0,0.0,32.0,5.0,0.0
jppf-project.csv,0.0,0.0,18.0,0.0,0.0,6.0,2.0,0.0,5.0,0.0,1.0,0.0,13.0,6.0,2.0,0.0,8.0,0.0
kolmafia.csv,0.0,0.0,18.0,4.0,3.0,10.0,1.0,0.0,2.0,0.0,0.0,0.0,14.0,1.0,3.0,73.0,11.0,0.0
megasquirtavr.csv,0.0,0.0,3.0,0.0,0.0,10.0,2.0,0.0,2.0,0.0,1.0,0.0,11.0,5.0,1.0,0.0,8.0,1.0
qedo.csv,0.0,0.0,13.0,11.0,0.0,2.0,2.0,0.0,1.0,1.0,3.0,0.0,16.0,2.0,2.0,0.0,9.0,0.0
stajistics.csv,3.0,0.0,92.0,9.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,8.0,4.0,0.0,2.0,1.0,4.0
trackit.csv,0.0,105.0,10.0,6.0,3.0,3.0,0.0,1.0,0.0,2.0,2.0,0.0,59.0,1.0,0.0,0.0,5.0,0.0
wxlua.csv,0.0,0.0,18.0,0.0,0.0,5.0,2.0,0.0,5.0,0.0,1.0,0.0,13.0,4.0,0.0,0.0,10.0,0.0
x4x.csv,0.0,4.0,9.0,0.0,3.0,7.0,1.0,0.0,5.0,0.0,1.0,0.0,16.0,4.0,0.0,74.0,9.0,0.0
xharbour.csv,0.0,0.0,11.0,3.0,2.0,11.0,1.0,1.0,2.0,0.0,1.0,0.0,7.0,2.0,0.0,71.0,7.0,0.0
