,swtfox.csv,mediate.csv,e-bio-flow.csv,jaxlib.csv,chaperon.csv,azureus.csv,jppf-project.csv,exist.csv,matrex.csv,pokenetonline.csv,freedom-erp.csv,octet.csv,geotools.csv,reaper3d.csv,bigdata.csv,simplewebservices.csv,nunit.csv,stajistics.csv
azureus.csv,0.0,1.0,0.0,13.0,17.0,2.0,0.0,3.0,1.0,0.0,2.0,5.0,19.0,17.0,0.0,2.0,2.0,10.0
bigdata.csv,0.0,1.0,5.0,11.0,51.0,5.0,0.0,5.0,0.0,0.0,1.0,3.0,12.0,12.0,0.0,10.0,9.0,8.0
chaperon.csv,0.0,2.0,4.0,49.0,1.0,12.0,0.0,6.0,1.0,5.0,166.0,2.0,8.0,42.0,0.0,0.0,0.0,2.0
e-bio-flow.csv,0.0,0.0,0.0,3.0,51.0,2.0,0.0,2.0,0.0,1.0,1.0,13.0,19.0,41.0,0.0,0.0,0.0,4.0
exist.csv,1.0,0.0,0.0,27.0,8.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,10.0,0.0,7.0,9.0,13.0
freedom-erp.csv,1.0,68.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,107.0,0.0,240.0,0.0,98.0
geotools.csv,0.0,0.0,7.0,24.0,51.0,14.0,0.0,5.0,1.0,0.0,3.0,0.0,0.0,14.0,0.0,0.0,5.0,3.0
jaxlib.csv,0.0,2.0,3.0,2.0,28.0,10.0,0.0,6.0,4.0,0.0,4.0,2.0,33.0,6.0,0.0,0.0,0.0,11.0
jppf-project.csv,0.0,2.0,1.0,24.0,33.0,21.0,0.0,8.0,2.0,0.0,1.0,5.0,33.0,14.0,0.0,0.0,0.0,9.0
matrex.csv,0.0,1.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,107.0,0.0,2.0,5.0,3.0
mediate.csv,1.0,3.0,3.0,18.0,5.0,15.0,0.0,6.0,2.0,1.0,1.0,4.0,11.0,6.0,1.0,0.0,0.0,7.0
nunit.csv,11.0,0.0,2.0,8.0,5.0,6.0,0.0,8.0,0.0,1.0,3.0,0.0,1.0,28.0,0.0,0.0,1.0,4.0
octet.csv,0.0,2.0,2.0,49.0,5.0,19.0,0.0,11.0,0.0,2.0,0.0,3.0,5.0,18.0,0.0,0.0,12.0,0.0
pokenetonline.csv,0.0,2.0,1.0,23.0,20.0,21.0,0.0,11.0,2.0,0.0,0.0,7.0,29.0,42.0,0.0,0.0,0.0,9.0
reaper3d.csv,0.0,1.0,0.0,9.0,6.0,9.0,0.0,6.0,4.0,0.0,0.0,0.0,3.0,5.0,1.0,2.0,1.0,2.0
simplewebservices.csv,0.0,2.0,1.0,25.0,16.0,22.0,0.0,7.0,0.0,0.0,1.0,6.0,22.0,18.0,0.0,0.0,4.0,6.0
stajistics.csv,0.0,2.0,10.0,22.0,1.0,12.0,0.0,10.0,0.0,1.0,1.0,0.0,0.0,29.0,0.0,0.0,7.0,0.0
swtfox.csv,0.0,2.0,1.0,49.0,19.0,15.0,0.0,9.0,2.0,0.0,1.0,3.0,34.0,15.0,0.0,0.0,0.0,11.0
