,reactos-mirror.csv,critterding.csv,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,ogrehg.csv,genecys.csv,monetdb.csv,projecteqemu.csv,modplug.csv,kftpgrabber.csv,netatalk.csv,fmri-dmt.csv,bibletime.csv,passwordsafe.csv,xmoto.csv,genoviz.csv,miranda.csv
badtrinity-zero.csv,0.0,3.0,4.0,0.0,0.0,0.0,11.0,0.0,0.0,2.0,0.0,3.0,13.0,2.0,2.0,0.0,0.0,1.0,7.0,0.0
bibletime.csv,0.0,0.0,10.0,0.0,0.0,15.0,14.0,0.0,0.0,1.0,0.0,0.0,17.0,0.0,4.0,0.0,0.0,3.0,30.0,2.0
critterding.csv,0.0,0.0,0.0,0.0,1.0,6.0,10.0,1.0,1.0,0.0,0.0,0.0,15.0,0.0,4.0,1.0,0.0,0.0,11.0,1.0
etics.csv,1.0,1.0,0.0,11.0,2.0,3.0,16.0,1.0,0.0,7.0,0.0,0.0,27.0,1.0,14.0,0.0,4.0,0.0,5.0,1.0
fmri-dmt.csv,2.0,74.0,1.0,0.0,0.0,2.0,95.0,0.0,70.0,145.0,80.0,0.0,91.0,0.0,0.0,0.0,158.0,79.0,2.0,0.0
genecys.csv,0.0,2.0,0.0,0.0,0.0,8.0,25.0,1.0,0.0,2.0,0.0,0.0,22.0,1.0,5.0,0.0,0.0,1.0,25.0,3.0
genoviz.csv,875.0,74.0,0.0,160.0,0.0,132.0,95.0,0.0,70.0,145.0,80.0,78.0,91.0,0.0,67.0,79.0,158.0,79.0,0.0,337.0
kftpgrabber.csv,0.0,4.0,2.0,7.0,1.0,14.0,7.0,7.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,8.0,1.0
kvs.csv,0.0,2.0,0.0,0.0,0.0,11.0,0.0,8.0,2.0,5.0,0.0,0.0,2.0,4.0,67.0,0.0,0.0,0.0,8.0,0.0
mcore3d.csv,0.0,0.0,10.0,0.0,0.0,4.0,15.0,1.0,3.0,1.0,3.0,0.0,20.0,0.0,5.0,0.0,2.0,1.0,24.0,0.0
miranda.csv,1.0,2.0,0.0,3.0,2.0,4.0,3.0,0.0,0.0,25.0,0.0,3.0,3.0,1.0,6.0,0.0,3.0,1.0,14.0,0.0
modplug.csv,0.0,1.0,0.0,0.0,0.0,13.0,6.0,1.0,0.0,3.0,0.0,0.0,9.0,1.0,4.0,0.0,0.0,1.0,17.0,3.0
monetdb.csv,4.0,2.0,0.0,0.0,0.0,14.0,7.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,5.0,0.0,1.0,1.0,19.0,1.0
netatalk.csv,0.0,1.0,2.0,0.0,0.0,7.0,4.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,6.0,1.0,0.0,1.0,2.0,0.0
ogrehg.csv,0.0,1.0,2.0,0.0,0.0,7.0,6.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,67.0,0.0,0.0,1.0,8.0,2.0
passwordsafe.csv,0.0,1.0,8.0,0.0,1.0,9.0,3.0,0.0,1.0,1.0,0.0,1.0,5.0,0.0,16.0,0.0,0.0,1.0,6.0,1.0
projecteqemu.csv,0.0,2.0,0.0,1.0,1.0,8.0,1.0,1.0,0.0,6.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,1.0,6.0,3.0
reactos-mirror.csv,0.0,0.0,0.0,0.0,0.0,7.0,21.0,1.0,0.0,13.0,0.0,0.0,20.0,1.0,4.0,0.0,0.0,1.0,24.0,4.0
xbplayer.csv,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,5.0,0.0,3.0,2.0,0.0,2.0,0.0,9.0,0.0
xmoto.csv,0.0,2.0,0.0,8.0,0.0,14.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,21.0,0.0,0.0,0.0,16.0,3.0
