,triplea.csv,mclient-mume.csv,jython.csv,freelords.csv,jmonkeyengine.csv,aufs.csv,toped.csv,calcubetimer.csv,st-filteredstatistics.csv,aten.csv,papertoolkit.csv,primefaces.csv,chaosrts.csv,web-cat.csv,emono.csv
aufs.csv,2.0,2.0,2.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,62.0,1.0,0.0,0.0,1.0
calcubetimer.csv,2.0,2.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,21.0,1.0,2.0,1.0,0.0
chaosrts.csv,0.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0
emono.csv,0.0,0.0,1.0,0.0,14.0,5.0,0.0,0.0,0.0,0.0,62.0,2.0,2.0,9.0,0.0
freelords.csv,0.0,4.0,2.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,6.0,1.0,2.0,0.0,0.0
jmonkeyengine.csv,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,2.0,1.0,1.0,0.0
jython.csv,2.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,19.0,2.0,2.0,4.0,0.0
mclient-mume.csv,0.0,0.0,10.0,0.0,5.0,12.0,0.0,0.0,1.0,0.0,62.0,1.0,0.0,1.0,0.0
papertoolkit.csv,52.0,0.0,0.0,106.0,67.0,116.0,0.0,59.0,51.0,0.0,0.0,66.0,157.0,49.0,0.0
primefaces.csv,0.0,2.0,1.0,0.0,1.0,5.0,0.0,1.0,2.0,0.0,4.0,0.0,2.0,0.0,0.0
st-filteredstatistics.csv,0.0,0.0,7.0,2.0,10.0,2.0,0.0,0.0,0.0,0.0,28.0,0.0,3.0,2.0,1.0
toped.csv,0.0,5.0,1.0,0.0,15.0,5.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,1.0,0.0
triplea.csv,0.0,0.0,1.0,3.0,1.0,9.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0
web-cat.csv,1.0,1.0,0.0,1.0,0.0,116.0,0.0,1.0,0.0,0.0,62.0,2.0,1.0,0.0,0.0
