,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv
blogentis.csv,0.37,0.01,0.12,0.1,0.45,0.8,0.06,0.11,0.05,0.29,0.39,0.0
emulemorph.csv,0.5,0.0,0.19,0.0,0.37,0.0,0.0,0.0,0.11,0.0,0.0,0.0
jaxen.csv,0.33,0.01,0.14,0.08,0.27,0.81,0.0,0.38,0.04,0.25,0.68,0.0
jvcl.csv,0.33,0.4,0.23,0.19,0.34,1.0,0.0,0.08,0.09,0.36,0.94,0.0
m-m-m.csv,0.35,0.01,0.09,0.08,0.22,0.95,0.02,0.06,0.02,0.22,0.36,0.02
motu.csv,0.36,0.01,0.11,0.06,0.24,0.82,0.0,0.05,0.07,0.41,0.39,0.01
nh3d.csv,0.4,0.67,0.0,0.06,0.26,0.84,0.02,0.06,0.0,0.22,0.4,0.01
sarasvati.csv,0.41,0.01,0.05,0.16,0.16,0.88,0.07,0.06,0.0,0.26,0.33,0.05
wgs-assembler.csv,0.52,0.01,0.1,0.07,0.28,1.0,0.02,0.08,0.06,0.29,0.34,0.0
zabbix.csv,0.37,0.0,0.1,0.09,0.29,0.89,0.0,0.08,0.03,0.33,0.69,0.0
