,reactos-mirror.csv,critterding.csv,etics.csv,badtrinity-zero.csv,kvs.csv,ogrehg.csv,monetdb.csv,alpine.csv,boost.csv,quarkplayer.csv,gusanos.csv,modplug.csv,kftpgrabber.csv,enzo.csv,fmri-dmt.csv,passwordsafe.csv,sandiaportals.csv,nativeclient.csv,miranda.csv
alpine.csv,10.0,2.0,1.0,6.0,1.0,0.0,0.0,1.0,1.0,10.0,3.0,0.0,0.0,1.0,2.0,0.0,70.0,0.0,3.0
badtrinity-zero.csv,2.0,0.0,3.0,0.0,15.0,1.0,0.0,11.0,1.0,2.0,1.0,0.0,13.0,3.0,8.0,0.0,2.0,0.0,2.0
boost.csv,0.0,0.0,3.0,0.0,18.0,5.0,5.0,15.0,3.0,5.0,2.0,0.0,4.0,0.0,7.0,0.0,0.0,1.0,1.0
critterding.csv,0.0,5.0,0.0,0.0,23.0,1.0,20.0,9.0,1.0,10.0,0.0,0.0,21.0,1.0,6.0,0.0,3.0,0.0,3.0
enzo.csv,14.0,1.0,5.0,0.0,22.0,9.0,3.0,52.0,5.0,0.0,2.0,0.0,16.0,1.0,4.0,0.0,2.0,1.0,4.0
etics.csv,3.0,0.0,1.0,0.0,6.0,0.0,1.0,5.0,1.0,2.0,1.0,0.0,8.0,0.0,7.0,0.0,0.0,0.0,1.0
fmri-dmt.csv,0.0,2.0,16.0,0.0,25.0,1.0,3.0,11.0,1.0,11.0,3.0,0.0,24.0,0.0,2.0,0.0,4.0,0.0,3.0
gusanos.csv,0.0,1.0,4.0,0.0,2.0,0.0,1.0,2.0,1.0,168.0,2.0,0.0,1.0,126.0,10.0,0.0,70.0,0.0,6.0
kftpgrabber.csv,0.0,3.0,1.0,4.0,4.0,2.0,5.0,0.0,1.0,9.0,0.0,0.0,1.0,1.0,4.0,0.0,70.0,0.0,1.0
kvs.csv,0.0,1.0,4.0,3.0,0.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,9.0,70.0,2.0,0.0
miranda.csv,0.0,74.0,1.0,0.0,21.0,0.0,1.0,11.0,0.0,5.0,95.0,0.0,5.0,126.0,1.0,0.0,4.0,0.0,0.0
modplug.csv,5.0,5.0,14.0,4.0,6.0,1.0,4.0,9.0,1.0,7.0,0.0,0.0,11.0,2.0,1.0,0.0,0.0,0.0,1.0
monetdb.csv,1.0,2.0,1.0,3.0,95.0,0.0,1.0,4.0,0.0,17.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0
nativeclient.csv,6.0,1.0,4.0,0.0,2.0,0.0,1.0,10.0,0.0,8.0,2.0,0.0,3.0,1.0,10.0,0.0,0.0,0.0,2.0
ogrehg.csv,1.0,0.0,7.0,3.0,4.0,0.0,1.0,5.0,1.0,6.0,1.0,0.0,9.0,0.0,4.0,0.0,0.0,1.0,3.0
passwordsafe.csv,5.0,0.0,0.0,1.0,12.0,1.0,6.0,9.0,1.0,4.0,3.0,0.0,19.0,1.0,11.0,0.0,4.0,0.0,3.0
quarkplayer.csv,0.0,1.0,0.0,0.0,22.0,2.0,9.0,4.0,2.0,8.0,1.0,0.0,16.0,2.0,3.0,1.0,3.0,0.0,3.0
reactos-mirror.csv,0.0,7.0,0.0,0.0,10.0,1.0,4.0,4.0,0.0,9.0,5.0,0.0,11.0,2.0,11.0,1.0,4.0,1.0,3.0
sandiaportals.csv,0.0,2.0,0.0,0.0,7.0,0.0,1.0,9.0,1.0,14.0,2.0,0.0,14.0,0.0,1.0,0.0,1.0,1.0,3.0
