,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv,gisgraphy.csv
blogentis.csv,7.0,0.0,0.0,25.0,2.0,0.0,17.0,18.0,3.0,5.0,0.0,103.0,10.0
emulemorph.csv,0.0,355.0,0.0,169.0,9.0,60.0,61.0,86.0,0.0,58.0,0.0,103.0,0.0
gisgraphy.csv,1.0,0.0,14.0,21.0,8.0,0.0,61.0,2.0,3.0,12.0,0.0,103.0,2.0
jaxen.csv,7.0,0.0,2.0,15.0,14.0,0.0,61.0,4.0,3.0,11.0,0.0,103.0,0.0
jvcl.csv,0.0,0.0,1.0,11.0,3.0,0.0,61.0,21.0,23.0,3.0,0.0,67.0,0.0
m-m-m.csv,4.0,0.0,9.0,16.0,13.0,0.0,60.0,69.0,22.0,13.0,0.0,38.0,1.0
motu.csv,1.0,0.0,9.0,24.0,15.0,0.0,61.0,69.0,13.0,3.0,0.0,90.0,1.0
nh3d.csv,4.0,0.0,158.0,24.0,15.0,0.0,61.0,70.0,109.0,13.0,0.0,92.0,1.0
sarasvati.csv,1.0,18.0,8.0,15.0,2.0,0.0,21.0,60.0,109.0,1.0,6.0,22.0,3.0
wgs-assembler.csv,1.0,0.0,12.0,6.0,1.0,0.0,44.0,2.0,22.0,5.0,2.0,103.0,3.0
zabbix.csv,2.0,355.0,10.0,22.0,2.0,0.0,61.0,27.0,25.0,11.0,0.0,103.0,1.0
