,ifa
rectracker.csv,2.0
dynalloy.csv,2.0
mpqc.csv,2.0
thout.csv,3.0
benojt.csv,1.0
sabbu.csv,0.0
unladen-swallow.csv,3.0
powerfolder-.csv,0.0
barracudamvc.csv,0.0
nutz.csv,3.0
apolloplayer.csv,2.0
vxl.csv,7.0
fbmanager.csv,0.0
olsrd.csv,1.0
jajuk.csv,1.0
sqlpower-library.csv,0.0
heekscad.csv,1.0
zorannt.csv,13.0
emftriple.csv,150.0
gamestone.csv,12.0
jicarilla.csv,69.0
sevenupdate.csv,0.0
nuttx.csv,0.0
psrchive.csv,2.0
jvcl.csv,1.0
kdenlive.csv,0.0
hatari.csv,0.0
maidsafe-dht.csv,2.0
opde.csv,1.0
brlcad.csv,5.0
opentibia.csv,0.0
plee-the-bear.csv,25.0
xcsoar.csv,1.0
vapor.csv,2.0
reaper-ecad.csv,3.0
jmri.csv,3.0
igarden.csv,0.0
mb-unit.csv,0.0
kaffeine.csv,0.0
ossim.csv,7.0
jlinalg.csv,0.0
megasquirtavr.csv,5.0
psycle.csv,0.0
beast-mcmc.csv,0.0
ikvm.csv,1.0
bscwweasel.csv,5.0
zact.csv,125.0
zscreen.csv,0.0
sarasvati.csv,12.0
flylegacy.csv,0.0
nullc.csv,0.0
dvt.csv,1.0
retromenu.csv,4.0
jatlas.csv,66.0
liferea.csv,1.0
array4j.csv,2.0
go.csv,1.0
zealos.csv,6.0
ns-3.csv,1.0
nug.csv,0.0
critterding.csv,0.0
gotjava.csv,490.0
optalgtoolkit.csv,0.0
kwave.csv,1.0
superwaba.csv,3.0
ltp.csv,0.0
pdfedit.csv,1.0
blogentis.csv,6.0
mclient-mume.csv,0.0
firebird.csv,0.0
