,lamp.csv,sevenupdate.csv,retromenu.csv,intact.csv,jbpm.csv,rohxel.csv,jpaul.csv,encog-cs.csv,stemkit.csv,panda3d.csv,soar.csv,jchassis.csv,gephex.csv,opendvr.csv,mevenide.csv,thedata.csv
encog-cs.csv,3.0,0.0,8.0,8.0,0.0,0.0,1.0,1.0,8.0,2.0,0.0,67.0,0.0,2.0,2.0,7.0
gephex.csv,13.0,0.0,13.0,6.0,73.0,1.0,1.0,2.0,10.0,3.0,55.0,67.0,0.0,0.0,0.0,10.0
intact.csv,12.0,0.0,6.0,0.0,4.0,0.0,4.0,1.0,77.0,0.0,2.0,67.0,0.0,0.0,5.0,65.0
jbpm.csv,142.0,0.0,2.0,102.0,0.0,49.0,0.0,183.0,77.0,154.0,55.0,67.0,0.0,74.0,0.0,5.0
jchassis.csv,142.0,54.0,65.0,102.0,431.0,49.0,57.0,183.0,77.0,154.0,55.0,3.0,111.0,74.0,0.0,65.0
jpaul.csv,142.0,0.0,4.0,3.0,0.0,0.0,1.0,4.0,77.0,154.0,0.0,9.0,0.0,0.0,0.0,65.0
lamp.csv,12.0,0.0,13.0,1.0,66.0,0.0,6.0,16.0,11.0,1.0,0.0,67.0,0.0,5.0,4.0,12.0
mevenide.csv,142.0,0.0,3.0,102.0,5.0,49.0,0.0,0.0,77.0,1.0,0.0,0.0,1.0,74.0,2.0,6.0
opendvr.csv,11.0,0.0,0.0,2.0,1.0,1.0,10.0,0.0,8.0,0.0,55.0,67.0,0.0,0.0,6.0,16.0
panda3d.csv,23.0,0.0,10.0,10.0,1.0,1.0,1.0,14.0,1.0,3.0,0.0,10.0,0.0,1.0,0.0,65.0
retromenu.csv,3.0,0.0,1.0,0.0,11.0,0.0,1.0,1.0,77.0,3.0,0.0,67.0,0.0,1.0,0.0,65.0
rohxel.csv,21.0,0.0,5.0,3.0,13.0,0.0,0.0,4.0,1.0,3.0,0.0,67.0,0.0,1.0,1.0,65.0
sevenupdate.csv,13.0,0.0,13.0,1.0,1.0,0.0,1.0,16.0,11.0,3.0,0.0,10.0,0.0,0.0,0.0,10.0
soar.csv,13.0,0.0,11.0,9.0,1.0,0.0,1.0,15.0,11.0,3.0,0.0,10.0,0.0,0.0,0.0,10.0
stemkit.csv,36.0,0.0,6.0,1.0,1.0,0.0,57.0,2.0,0.0,4.0,0.0,67.0,0.0,0.0,7.0,6.0
thedata.csv,1.0,0.0,9.0,1.0,1.0,0.0,1.0,16.0,3.0,3.0,0.0,67.0,0.0,1.0,6.0,0.0
