,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,mycila.csv,azureus.csv,personalaccess.csv,octet.csv,servicestack.csv,gephex.csv,rcp-company-uibindings.csv,javaprofiler.csv
adonthell.csv,0.0,2.0,0.0,5.0,0.0,1.0,2.0,0.0,1.0,1.0,3.0,6.0,0.0,1.0,2.0,0.0,0.0,0.0
autofac.csv,0.0,3.0,3.0,0.0,0.0,1.0,3.0,0.0,1.0,11.0,16.0,15.0,1.0,2.0,0.0,0.0,0.0,0.0
azureus.csv,0.0,0.0,0.0,7.0,1.0,1.0,0.0,12.0,8.0,6.0,0.0,0.0,2.0,57.0,0.0,0.0,0.0,0.0
dsworkbench.csv,0.0,3.0,0.0,3.0,0.0,0.0,6.0,1.0,1.0,16.0,0.0,11.0,0.0,8.0,1.0,0.0,0.0,0.0
forester-atv.csv,81.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,51.0,0.0,0.0,57.0,0.0,111.0,0.0,0.0
freelords.csv,0.0,0.0,4.0,0.0,0.0,0.0,10.0,0.0,2.0,6.0,4.0,11.0,0.0,20.0,8.0,0.0,0.0,0.0
gabel.csv,81.0,0.0,65.0,0.0,107.0,106.0,0.0,106.0,51.0,0.0,51.0,0.0,0.0,57.0,62.0,111.0,0.0,0.0
gephex.csv,0.0,0.0,1.0,4.0,1.0,0.0,2.0,0.0,51.0,18.0,3.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0
google-collections.csv,0.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,20.0,9.0,22.0,1.0,5.0,0.0,0.0,0.0,0.0
javaprofiler.csv,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,10.0,23.0,1.0,11.0,0.0,4.0,0.0,0.0,0.0,0.0
jpaul.csv,0.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,10.0,51.0,9.0,1.0,5.0,0.0,0.0,0.0,0.0
mycila.csv,0.0,4.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,11.0,0.0,1.0,2.0,57.0,0.0,0.0,0.0,0.0
neodatis-odb.csv,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,12.0,51.0,19.0,3.0,5.0,0.0,1.0,0.0,0.0
octet.csv,0.0,3.0,2.0,0.0,1.0,1.0,57.0,0.0,0.0,3.0,51.0,14.0,1.0,0.0,0.0,2.0,0.0,0.0
personalaccess.csv,0.0,1.0,1.0,1.0,0.0,1.0,4.0,0.0,7.0,12.0,1.0,16.0,0.0,1.0,5.0,0.0,0.0,2.0
rcp-company-uibindings.csv,0.0,6.0,2.0,0.0,1.0,0.0,1.0,0.0,12.0,6.0,5.0,10.0,2.0,2.0,2.0,0.0,0.0,0.0
scenemonitor.csv,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,0.0,10.0,0.0,9.0,0.0,1.0,0.0,0.0
servicestack.csv,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,7.0,8.0,16.0,1.0,15.0,0.0,1.0,0.0,0.0
