,reactos-mirror.csv,critterding.csv,exordium.csv,enlightenment.csv,lockss.csv,google-caja.csv,bdbbasic.csv,yafdotnet.csv,modplug.csv,itext.csv
bdbbasic.csv,2.0,2.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0
critterding.csv,2.0,0.0,12.0,0.0,18.0,0.0,2.0,2.0,0.0,4.0
enlightenment.csv,0.0,0.0,6.0,0.0,7.0,2.0,2.0,8.0,0.0,1.0
exordium.csv,0.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,4.0
google-caja.csv,0.0,1.0,12.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0
itext.csv,0.0,4.0,3.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0
lockss.csv,1.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
modplug.csv,0.0,2.0,13.0,0.0,5.0,1.0,7.0,3.0,0.0,1.0
reactos-mirror.csv,0.0,2.0,12.0,0.0,4.0,1.0,8.0,2.0,0.0,10.0
yafdotnet.csv,0.0,1.0,15.0,1.0,11.0,3.0,9.0,0.0,0.0,9.0
