,kaffeine.csv,alembik.csv,co-ode-owl-plugins.csv,jmonkeyengine.csv,onotoa.csv,e-bio-flow.csv,ogrehg.csv,jaxlib.csv,chaperon.csv,nodal.csv,xpontus.csv,aten.csv,papertoolkit.csv,free-evolution.csv,jmule.csv
alembik.csv,0.0,0.0,2.0,4.0,0.0,1.0,2.0,4.0,51.0,0.0,117.0,0.0,9.0,1.0,1.0
chaperon.csv,0.0,1.0,6.0,0.0,0.0,4.0,0.0,15.0,1.0,0.0,42.0,0.0,5.0,3.0,4.0
co-ode-owl-plugins.csv,0.0,5.0,1.0,0.0,0.0,0.0,1.0,21.0,9.0,2.0,56.0,0.0,3.0,6.0,52.0
e-bio-flow.csv,0.0,3.0,2.0,3.0,0.0,0.0,0.0,3.0,51.0,0.0,26.0,0.0,62.0,2.0,2.0
free-evolution.csv,0.0,4.0,8.0,4.0,1.0,0.0,1.0,23.0,0.0,3.0,72.0,0.0,5.0,3.0,2.0
jaxlib.csv,0.0,10.0,4.0,0.0,0.0,3.0,0.0,2.0,28.0,0.0,117.0,0.0,10.0,2.0,2.0
jmonkeyengine.csv,0.0,9.0,12.0,0.0,0.0,4.0,0.0,4.0,13.0,0.0,117.0,0.0,11.0,13.0,7.0
jmule.csv,1.0,2.0,8.0,0.0,0.0,3.0,1.0,24.0,24.0,3.0,38.0,0.0,4.0,6.0,0.0
kaffeine.csv,0.0,4.0,5.0,0.0,2.0,4.0,3.0,22.0,5.0,0.0,37.0,0.0,10.0,2.0,1.0
nodal.csv,0.0,5.0,2.0,0.0,1.0,1.0,1.0,16.0,5.0,0.0,117.0,0.0,0.0,11.0,0.0
ogrehg.csv,0.0,0.0,4.0,0.0,0.0,1.0,0.0,15.0,8.0,3.0,117.0,0.0,5.0,1.0,2.0
onotoa.csv,0.0,3.0,3.0,0.0,0.0,1.0,2.0,49.0,51.0,0.0,117.0,0.0,62.0,4.0,52.0
papertoolkit.csv,0.0,0.0,0.0,2.0,0.0,5.0,0.0,17.0,51.0,1.0,117.0,0.0,1.0,2.0,2.0
