,jedit.csv,lamp.csv,triplea.csv,openintents.csv,dxengine.csv,hazelcast.csv,bullet.csv,qlc.csv,jmonkeyengine.csv,onotoa.csv,apertium.csv,lcfizvtop.csv,bionote.csv,kolmafia.csv,findbugs.csv,duplicati.csv,emono.csv
apertium.csv,5.0,8.0,0.0,2.0,0.0,0.0,0.0,5.0,17.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0
bionote.csv,3.0,0.0,1.0,0.0,1.0,0.0,1.0,11.0,1.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,121.0
bullet.csv,3.0,36.0,0.0,3.0,3.0,1.0,1.0,30.0,1.0,0.0,2.0,58.0,12.0,7.0,1.0,0.0,0.0
dxengine.csv,3.0,5.0,2.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,10.0,1.0,6.0,1.0,0.0,0.0,0.0
emono.csv,0.0,44.0,1.0,1.0,3.0,2.0,2.0,6.0,1.0,0.0,5.0,0.0,20.0,4.0,2.0,0.0,0.0
findbugs.csv,0.0,23.0,2.0,1.0,4.0,7.0,1.0,3.0,0.0,0.0,8.0,25.0,7.0,2.0,0.0,0.0,0.0
hazelcast.csv,1.0,21.0,0.0,0.0,7.0,0.0,0.0,28.0,0.0,1.0,0.0,10.0,20.0,1.0,0.0,0.0,0.0
jedit.csv,0.0,13.0,0.0,5.0,1.0,1.0,1.0,12.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0
jmonkeyengine.csv,0.0,13.0,1.0,1.0,2.0,0.0,2.0,4.0,0.0,0.0,16.0,0.0,9.0,2.0,0.0,0.0,0.0
kolmafia.csv,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,15.0,1.0,0.0,4.0,24.0,0.0,1.0,0.0,0.0
lamp.csv,5.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,1.0,0.0,12.0,1.0,5.0,3.0,0.0,0.0,0.0
lcfizvtop.csv,4.0,0.0,5.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,3.0,0.0,4.0,1.0,10.0,0.0,5.0
onotoa.csv,0.0,2.0,2.0,1.0,8.0,0.0,2.0,4.0,0.0,0.0,2.0,15.0,16.0,2.0,0.0,0.0,0.0
openintents.csv,4.0,31.0,0.0,0.0,8.0,0.0,3.0,21.0,3.0,0.0,2.0,9.0,15.0,7.0,1.0,0.0,1.0
qlc.csv,0.0,13.0,0.0,6.0,1.0,0.0,0.0,0.0,67.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0
triplea.csv,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,13.0,4.0,0.0,0.0,0.0
