,owfs.csv,utgb.csv,chipster.csv,sidekar.csv,jgnash.csv,jsr308-langtools.csv,continuum-ide.csv,azureus.csv,ctrlr.csv,jppf-project.csv,stemkit.csv,galaxium.csv,ingex.csv,itext.csv,octet.csv,lite.csv,bzbyte.csv,carabiner.csv,tigermud.csv,ta3d.csv
azureus.csv,0.0,2.0,11.0,1.0,68.0,1.0,3.0,4.0,0.0,0.0,1.0,6.0,0.0,1.0,5.0,8.0,0.0,8.0,0.0,2.0
bzbyte.csv,1.0,2.0,2.0,1.0,0.0,49.0,10.0,216.0,79.0,0.0,11.0,2.0,78.0,63.0,5.0,8.0,0.0,8.0,0.0,1.0
carabiner.csv,1.0,0.0,14.0,1.0,12.0,4.0,6.0,2.0,0.0,0.0,7.0,4.0,5.0,3.0,4.0,5.0,0.0,2.0,0.0,0.0
chipster.csv,62.0,2.0,2.0,2.0,26.0,0.0,1.0,6.0,1.0,0.0,21.0,4.0,78.0,2.0,11.0,55.0,0.0,4.0,1.0,1.0
continuum-ide.csv,1.0,0.0,4.0,0.0,0.0,5.0,1.0,8.0,2.0,0.0,8.0,7.0,3.0,7.0,5.0,0.0,0.0,72.0,0.0,2.0
ctrlr.csv,1.0,1.0,7.0,1.0,43.0,7.0,3.0,21.0,1.0,0.0,7.0,12.0,3.0,8.0,5.0,13.0,0.0,2.0,0.0,3.0
galaxium.csv,11.0,1.0,0.0,0.0,16.0,1.0,2.0,4.0,4.0,0.0,3.0,2.0,10.0,0.0,5.0,3.0,0.0,8.0,0.0,0.0
ingex.csv,1.0,1.0,7.0,0.0,32.0,6.0,11.0,12.0,79.0,0.0,8.0,0.0,7.0,2.0,5.0,8.0,1.0,8.0,1.0,0.0
itext.csv,11.0,2.0,8.0,1.0,37.0,1.0,2.0,8.0,4.0,0.0,11.0,22.0,3.0,0.0,5.0,8.0,0.0,9.0,1.0,1.0
jgnash.csv,2.0,0.0,0.0,0.0,2.0,0.0,4.0,3.0,2.0,1.0,1.0,14.0,1.0,1.0,5.0,2.0,0.0,1.0,0.0,1.0
jppf-project.csv,1.0,2.0,8.0,0.0,27.0,9.0,4.0,20.0,2.0,0.0,10.0,3.0,3.0,10.0,5.0,8.0,0.0,3.0,0.0,3.0
jsr308-langtools.csv,1.0,1.0,13.0,1.0,34.0,0.0,8.0,216.0,0.0,0.0,11.0,0.0,1.0,2.0,5.0,8.0,0.0,8.0,0.0,1.0
lite.csv,1.0,0.0,0.0,0.0,3.0,8.0,2.0,5.0,1.0,1.0,77.0,2.0,3.0,1.0,7.0,1.0,1.0,0.0,0.0,2.0
octet.csv,7.0,0.0,9.0,0.0,16.0,10.0,7.0,21.0,5.0,0.0,77.0,2.0,1.0,4.0,3.0,1.0,4.0,1.0,0.0,0.0
owfs.csv,0.0,1.0,4.0,6.0,5.0,6.0,6.0,2.0,1.0,0.0,4.0,13.0,3.0,4.0,1.0,1.0,0.0,3.0,0.0,0.0
sidekar.csv,62.0,65.0,161.0,0.0,169.0,49.0,55.0,216.0,79.0,99.0,10.0,121.0,78.0,63.0,5.0,8.0,74.0,8.0,55.0,50.0
stemkit.csv,5.0,1.0,4.0,0.0,13.0,0.0,2.0,9.0,1.0,0.0,0.0,2.0,0.0,4.0,57.0,4.0,1.0,10.0,0.0,0.0
ta3d.csv,2.0,1.0,3.0,0.0,27.0,2.0,0.0,5.0,0.0,0.0,8.0,2.0,0.0,1.0,16.0,2.0,0.0,1.0,1.0,2.0
tigermud.csv,1.0,0.0,3.0,3.0,26.0,3.0,4.0,15.0,1.0,0.0,14.0,25.0,3.0,3.0,5.0,7.0,0.0,7.0,0.0,0.0
utgb.csv,13.0,1.0,9.0,0.0,12.0,0.0,55.0,16.0,15.0,0.0,1.0,4.0,0.0,4.0,57.0,3.0,1.0,8.0,0.0,0.0
