,triplea.csv,mclient-mume.csv,jython.csv,freelords.csv,jmonkeyengine.csv,aufs.csv,toped.csv,calcubetimer.csv,st-filteredstatistics.csv,aten.csv,papertoolkit.csv,primefaces.csv,chaosrts.csv,web-cat.csv,emono.csv
aufs.csv,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,62.0,1.0,0.0,0.0,0.0
calcubetimer.csv,0.0,3.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,15.0,1.0,1.0,4.0,0.0
chaosrts.csv,0.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0
emono.csv,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,62.0,1.0,1.0,1.0,0.0
freelords.csv,0.0,6.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,1.0,0.0
jmonkeyengine.csv,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,66.0,1.0,1.0,0.0
jython.csv,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,2.0,2.0,1.0,0.0
mclient-mume.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,6.0,0.0
papertoolkit.csv,0.0,0.0,0.0,106.0,0.0,116.0,0.0,59.0,51.0,0.0,0.0,0.0,0.0,49.0,1.0
primefaces.csv,1.0,2.0,1.0,0.0,3.0,116.0,0.0,1.0,1.0,0.0,15.0,0.0,2.0,0.0,0.0
st-filteredstatistics.csv,1.0,2.0,2.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0
toped.csv,2.0,5.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0
triplea.csv,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,24.0,1.0,2.0,2.0,0.0
web-cat.csv,2.0,6.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,20.0,1.0,1.0,0.0,0.0
