,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,0.0,6.0,2.0,0.0,0.0,9.0,2.0,4.0,0.0,0.0
empserver.csv,1.0,4.0,2.0,0.0,0.0,24.0,11.0,3.0,0.0,0.0
enlightenment.csv,0.0,11.0,2.0,0.0,1.0,46.0,12.0,0.0,0.0,0.0
ffigo.csv,1.0,7.0,0.0,0.0,68.0,97.0,4.0,0.0,4.0,51.0
ildjit.csv,0.0,2.0,0.0,0.0,2.0,97.0,12.0,1.0,4.0,2.0
jfreereport.csv,0.0,5.0,2.0,1.0,2.0,97.0,2.0,0.0,0.0,0.0
mplayer-ce.csv,0.0,4.0,2.0,1.0,1.0,34.0,12.0,4.0,0.0,0.0
psycle.csv,0.0,11.0,0.0,1.0,0.0,13.0,0.0,2.0,0.0,0.0
wikipediardware.csv,0.0,8.0,2.0,0.0,0.0,40.0,11.0,5.0,0.0,0.0
wxjs.csv,0.0,125.0,0.0,530.0,68.0,7.0,355.0,119.0,627.0,51.0
