,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv
gwanted.csv,3.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
ivatamasks.csv,3.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
java-gnome.csv,12.0,0.0,16.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
orc.csv,3.0,0.0,0.0,2.0,0.0,0.0,1.0,12.0,72.0,62.0,0.0
plato.csv,3.0,0.0,17.0,2.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0
rodin-b-sharp.csv,73.0,0.0,2.0,0.0,1.0,0.0,0.0,13.0,0.0,62.0,0.0
tycho.csv,4.0,0.0,10.0,2.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0
umber.csv,0.0,0.0,22.0,1.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0
unicase.csv,1.0,0.0,9.0,2.0,1.0,0.0,1.0,24.0,0.0,0.0,0.0
vienna-add-in.csv,2.0,0.0,33.0,2.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0
wpdev.csv,4.0,0.0,17.0,2.0,0.0,0.0,1.0,17.0,1.0,0.0,0.0
