,xharbour.csv,jgameai.csv,megasquirtavr.csv,emisview.csv,bullet.csv,mptvseries.csv,tktoolkit.csv,bulmages.csv,cubefs.csv,java-gnome.csv,bwapi.csv,mp-rechnungs-und-kundenverwaltung.csv,bionote.csv,adobe-source.csv,somap.csv,duplicati.csv,buddata-ebxml-registry.csv,oorexx.csv
adobe-source.csv,0.0,88.0,16.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,1.0
bionote.csv,0.0,0.0,3.0,1.0,0.0,3.0,3.0,100.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buddata-ebxml-registry.csv,0.0,0.0,18.0,10.0,2.0,6.0,3.0,0.0,0.0,0.0,1.0,0.0,16.0,14.0,0.0,0.0,0.0,1.0
bullet.csv,4.0,2.0,0.0,7.0,0.0,10.0,6.0,0.0,0.0,0.0,1.0,2.0,20.0,6.0,0.0,0.0,1.0,1.0
bulmages.csv,0.0,88.0,2.0,1.0,0.0,49.0,177.0,0.0,0.0,72.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0
bwapi.csv,0.0,0.0,7.0,5.0,0.0,7.0,1.0,5.0,1.0,0.0,0.0,7.0,11.0,4.0,0.0,0.0,0.0,0.0
cubefs.csv,0.0,1.0,0.0,1.0,0.0,4.0,16.0,100.0,0.0,0.0,0.0,2.0,17.0,11.0,3.0,0.0,0.0,1.0
emisview.csv,105.0,3.0,2.0,0.0,0.0,2.0,177.0,100.0,0.0,72.0,0.0,0.0,2.0,161.0,0.0,1.0,0.0,60.0
java-gnome.csv,0.0,1.0,0.0,7.0,1.0,3.0,3.0,19.0,0.0,0.0,0.0,4.0,14.0,2.0,0.0,0.0,0.0,1.0
jgameai.csv,105.0,0.0,2.0,3.0,0.0,3.0,4.0,3.0,1.0,0.0,2.0,6.0,5.0,3.0,0.0,0.0,2.0,2.0
megasquirtavr.csv,0.0,2.0,0.0,10.0,2.0,6.0,3.0,0.0,0.0,0.0,1.0,2.0,16.0,16.0,0.0,0.0,0.0,1.0
mp-rechnungs-und-kundenverwaltung.csv,0.0,1.0,7.0,5.0,1.0,4.0,10.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
mptvseries.csv,0.0,0.0,1.0,2.0,0.0,0.0,5.0,9.0,1.0,72.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,5.0
oorexx.csv,0.0,0.0,1.0,3.0,0.0,6.0,12.0,15.0,1.0,0.0,0.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0
somap.csv,0.0,0.0,18.0,10.0,2.0,6.0,3.0,0.0,0.0,0.0,1.0,0.0,16.0,16.0,0.0,0.0,0.0,1.0
tktoolkit.csv,0.0,0.0,18.0,9.0,2.0,3.0,0.0,2.0,0.0,1.0,2.0,0.0,10.0,15.0,0.0,0.0,0.0,3.0
xharbour.csv,0.0,1.0,12.0,3.0,2.0,8.0,3.0,0.0,0.0,0.0,1.0,5.0,15.0,13.0,0.0,0.0,0.0,3.0
