,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.0,1.0,57.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
arsenal-1.csv,0.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0,0.0,0.0
barracudamvc.csv,0.0,1.0,2.0,6.0,0.0,0.0,5.0,19.0,0.0,3.0
irplus.csv,0.0,2.0,0.0,2.0,2.0,5.0,1.0,11.0,0.0,0.0
lite.csv,0.0,0.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0
mevenide.csv,0.0,0.0,2.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0
ontopia.csv,0.0,1.0,3.0,4.0,0.0,0.0,3.0,11.0,0.0,2.0
openintents.csv,0.0,2.0,2.0,1.0,0.0,1.0,2.0,17.0,0.0,3.0
ta3d.csv,0.0,0.0,2.0,0.0,1.0,1.0,5.0,6.0,0.0,1.0
tweetsharp.csv,0.0,1.0,2.0,5.0,0.0,0.0,6.0,15.0,0.0,2.0
