,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,mycila.csv,azureus.csv,personalaccess.csv,octet.csv,servicestack.csv,gephex.csv,rcp-company-uibindings.csv,javaprofiler.csv
adonthell.csv,0.0,4.0,1.0,2.0,0.0,0.0,0.0,10.0,1.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0
autofac.csv,0.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,15.0,7.0,0.0,8.0,0.0,0.0,0.0,0.0
azureus.csv,0.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,4.0,51.0,0.0,2.0,57.0,62.0,0.0,0.0,0.0
dsworkbench.csv,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,13.0,0.0,5.0,0.0,1.0,6.0,0.0,0.0,1.0
forester-atv.csv,0.0,0.0,0.0,0.0,107.0,3.0,0.0,0.0,51.0,2.0,51.0,4.0,0.0,57.0,1.0,111.0,0.0,0.0
freelords.csv,0.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,7.0,2.0,3.0,11.0,0.0,2.0,2.0,0.0,0.0,0.0
gabel.csv,81.0,65.0,65.0,61.0,0.0,0.0,57.0,106.0,51.0,0.0,51.0,1.0,0.0,1.0,62.0,111.0,0.0,110.0
gephex.csv,0.0,4.0,1.0,4.0,0.0,1.0,0.0,2.0,0.0,31.0,1.0,32.0,0.0,8.0,10.0,0.0,0.0,0.0
google-collections.csv,0.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,20.0,9.0,22.0,1.0,5.0,0.0,0.0,0.0,0.0
javaprofiler.csv,0.0,3.0,0.0,2.0,0.0,1.0,4.0,0.0,10.0,6.0,1.0,9.0,1.0,3.0,1.0,0.0,0.0,0.0
jpaul.csv,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,7.0,1.0,0.0,0.0,0.0
mycila.csv,0.0,2.0,0.0,3.0,107.0,2.0,2.0,0.0,9.0,99.0,0.0,216.0,3.0,0.0,11.0,0.0,0.0,0.0
neodatis-odb.csv,0.0,3.0,0.0,0.0,1.0,1.0,8.0,0.0,1.0,17.0,4.0,10.0,5.0,19.0,4.0,0.0,0.0,0.0
octet.csv,0.0,3.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,6.0,7.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0
personalaccess.csv,0.0,3.0,2.0,3.0,1.0,0.0,4.0,0.0,11.0,44.0,5.0,17.0,0.0,12.0,3.0,0.0,0.0,0.0
rcp-company-uibindings.csv,0.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,11.0,4.0,5.0,7.0,2.0,5.0,4.0,0.0,0.0,0.0
scenemonitor.csv,0.0,3.0,1.0,0.0,0.0,1.0,9.0,0.0,0.0,38.0,4.0,12.0,0.0,14.0,6.0,0.0,0.0,0.0
servicestack.csv,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,5.0,11.0,17.0,12.0,1.0,6.0,0.0,0.0,0.0,0.0
