,maidsafe-dht.csv,atlc.csv,theresa.csv,playerstage.csv,knowledge.csv,gnukeda.csv,enlightenment.csv,boost-sandbox.csv,yaprm.csv,kowari.csv,fceugc.csv,proftp.csv,jaolt.csv,tcvp.csv,dspace-gsoc.csv,lufa-lib.csv,xapian.csv,pixel-commandos.csv,uwom.csv
atlc.csv,8.0,0.0,48.0,1.0,0.0,1.0,1.0,1.0,0.0,8.0,0.0,2.0,2.0,23.0,0.0,11.0,3.0,32.0,37.0
boost-sandbox.csv,14.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,4.0,0.0,11.0,0.0,5.0,2.0,42.0,9.0
dspace-gsoc.csv,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,82.0,0.0,1.0,0.0,9.0,32.0
enlightenment.csv,15.0,0.0,52.0,5.0,0.0,0.0,0.0,4.0,7.0,7.0,2.0,0.0,1.0,1.0,0.0,6.0,2.0,28.0,11.0
fceugc.csv,3.0,2.0,8.0,5.0,0.0,1.0,0.0,0.0,2.0,5.0,0.0,4.0,0.0,8.0,1.0,4.0,13.0,2.0,21.0
gnukeda.csv,21.0,2.0,34.0,2.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,3.0,0.0,5.0,0.0,4.0,0.0,18.0,2.0
jaolt.csv,8.0,0.0,14.0,3.0,0.0,0.0,0.0,1.0,4.0,6.0,2.0,0.0,0.0,9.0,1.0,6.0,3.0,18.0,4.0
knowledge.csv,7.0,0.0,49.0,1.0,0.0,2.0,0.0,2.0,0.0,8.0,0.0,2.0,1.0,19.0,1.0,11.0,3.0,34.0,34.0
kowari.csv,7.0,0.0,20.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,9.0,1.0,0.0,8.0,24.0,35.0
lufa-lib.csv,8.0,0.0,27.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,3.0,0.0,19.0,2.0,0.0,1.0,35.0,38.0
maidsafe-dht.csv,0.0,0.0,4.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,82.0,3.0,4.0,2.0,9.0,11.0
pixel-commandos.csv,3.0,0.0,52.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,82.0,0.0,7.0,0.0,0.0,2.0
playerstage.csv,13.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0,2.0,13.0,2.0,2.0,0.0,13.0,1.0,3.0,4.0,16.0,4.0
proftp.csv,1.0,3.0,52.0,1.0,0.0,1.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0
tcvp.csv,4.0,0.0,52.0,1.0,0.0,2.0,0.0,0.0,0.0,84.0,0.0,66.0,1.0,0.0,0.0,8.0,13.0,18.0,38.0
theresa.csv,0.0,69.0,0.0,0.0,0.0,70.0,0.0,147.0,74.0,84.0,63.0,66.0,0.0,82.0,54.0,0.0,113.0,0.0,1.0
uwom.csv,6.0,0.0,52.0,5.0,0.0,2.0,1.0,0.0,0.0,27.0,0.0,2.0,1.0,2.0,0.0,11.0,0.0,29.0,0.0
xapian.csv,6.0,0.0,27.0,0.0,0.0,2.0,0.0,2.0,5.0,7.0,0.0,3.0,0.0,15.0,1.0,2.0,0.0,25.0,40.0
yaprm.csv,9.0,2.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,3.0,0.0,31.0,2.0
