,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,1.0,3.0,0.0,8.0,0.0,3.0,6.0,0.0,10.0,1.0
chaperon.csv,0.0,12.0,0.0,1.0,2.0,0.0,8.0,0.0,1.0,0.0
geotools.csv,3.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,3.0,5.0
l2j.csv,0.0,33.0,0.0,16.0,0.0,0.0,14.0,2.0,4.0,1.0
mule.csv,0.0,3.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0
nunit.csv,2.0,0.0,5.0,3.0,0.0,3.0,4.0,0.0,2.0,1.0
primefaces.csv,0.0,33.0,0.0,5.0,0.0,16.0,7.0,1.0,1.0,1.0
springside.csv,0.0,1.0,1.0,11.0,0.0,0.0,3.0,1.0,0.0,0.0
swtfox.csv,0.0,42.0,0.0,2.0,0.0,0.0,26.0,2.0,3.0,0.0
twostep.csv,3.0,25.0,2.0,4.0,0.0,0.0,23.0,0.0,1.0,0.0
