,ltp.csv,konversation.csv,moviesandbox.csv,sepgsql.csv,migen.csv,mcmc-jags.csv,cataclysmos.csv,ildjit.csv,opengs.csv,tcl.csv,phonon-vlc-mplayer.csv,openxava.csv,unflobtactical.csv,micomt.csv,nebuladevice.csv,passwordsafe.csv,exl.csv,crux-framework.csv
crux-framework.csv,0.0,17.0,0.0,27.0,0.0,3.0,52.0,5.0,1.0,0.0,0.0,0.0,0.0,19.0,4.0,2.0,0.0,0.0
exl.csv,0.0,18.0,1.0,10.0,2.0,10.0,23.0,0.0,7.0,3.0,2.0,3.0,2.0,25.0,2.0,5.0,0.0,53.0
ildjit.csv,0.0,101.0,0.0,9.0,0.0,4.0,52.0,1.0,0.0,4.0,0.0,0.0,4.0,0.0,1.0,8.0,0.0,40.0
konversation.csv,0.0,0.0,0.0,2.0,2.0,0.0,32.0,5.0,0.0,0.0,4.0,32.0,0.0,1.0,0.0,0.0,0.0,20.0
ltp.csv,1.0,21.0,0.0,48.0,2.0,0.0,52.0,14.0,2.0,0.0,26.0,57.0,0.0,5.0,4.0,0.0,0.0,52.0
mcmc-jags.csv,0.0,20.0,0.0,39.0,5.0,0.0,29.0,11.0,1.0,0.0,6.0,33.0,0.0,2.0,0.0,0.0,0.0,61.0
micomt.csv,1.0,28.0,0.0,6.0,8.0,0.0,41.0,12.0,2.0,2.0,21.0,32.0,0.0,1.0,3.0,0.0,0.0,67.0
migen.csv,2.0,16.0,0.0,17.0,1.0,0.0,6.0,4.0,2.0,0.0,3.0,33.0,1.0,4.0,14.0,0.0,0.0,32.0
moviesandbox.csv,0.0,4.0,0.0,5.0,5.0,0.0,11.0,9.0,2.0,0.0,10.0,33.0,0.0,2.0,2.0,0.0,0.0,45.0
nebuladevice.csv,471.0,39.0,2.0,584.0,2.0,0.0,52.0,6.0,2.0,0.0,16.0,33.0,0.0,5.0,0.0,4.0,2.0,53.0
opengs.csv,2.0,9.0,0.0,46.0,1.0,1.0,21.0,3.0,2.0,0.0,1.0,29.0,1.0,1.0,14.0,0.0,0.0,23.0
openxava.csv,2.0,10.0,3.0,9.0,0.0,13.0,19.0,3.0,1.0,4.0,18.0,0.0,5.0,23.0,0.0,2.0,0.0,25.0
passwordsafe.csv,2.0,22.0,0.0,47.0,3.0,0.0,30.0,20.0,4.0,0.0,9.0,33.0,0.0,1.0,5.0,0.0,0.0,53.0
phonon-vlc-mplayer.csv,2.0,8.0,0.0,54.0,2.0,0.0,20.0,11.0,0.0,0.0,12.0,31.0,0.0,1.0,1.0,0.0,0.0,26.0
sepgsql.csv,1.0,6.0,0.0,5.0,0.0,0.0,7.0,5.0,5.0,0.0,3.0,4.0,1.0,1.0,5.0,0.0,0.0,29.0
tcl.csv,0.0,25.0,2.0,584.0,2.0,0.0,52.0,7.0,2.0,0.0,27.0,33.0,0.0,71.0,9.0,5.0,0.0,87.0
unflobtactical.csv,0.0,15.0,0.0,1.0,1.0,0.0,24.0,3.0,2.0,1.0,2.0,94.0,0.0,1.0,10.0,0.0,0.0,63.0
