,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,scenemonitor.csv,avisynth2.csv,gephex.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv
adonthell.csv,2.0,0.0,0.0,3.0,1.0,29.0,0.0,0.0,16.0,5.0,0.0
avisynth2.csv,0.0,107.0,0.0,57.0,51.0,0.0,111.0,0.0,124.0,76.0,71.0
coot.csv,0.0,2.0,0.0,5.0,3.0,10.0,0.0,1.0,11.0,0.0,2.0
dsworkbench.csv,0.0,1.0,0.0,9.0,0.0,27.0,0.0,0.0,15.0,2.0,0.0
freelords.csv,1.0,1.0,0.0,4.0,10.0,30.0,1.0,0.0,23.0,2.0,4.0
gephex.csv,2.0,1.0,0.0,10.0,4.0,64.0,0.0,0.0,3.0,2.0,0.0
jas.csv,2.0,7.0,0.0,0.0,1.0,64.0,2.0,0.0,0.0,0.0,0.0
jpaul.csv,0.0,107.0,0.0,0.0,1.0,64.0,111.0,5.0,1.0,0.0,71.0
ngl.csv,3.0,0.0,2.0,5.0,6.0,7.0,2.0,0.0,7.0,0.0,3.0
scenemonitor.csv,2.0,0.0,1.0,3.0,0.0,27.0,0.0,2.0,2.0,1.0,3.0
synecdoche.csv,1.0,4.0,0.0,7.0,8.0,7.0,0.0,0.0,20.0,3.0,0.0
