,capcode.csv,lmms.csv,linuxsh.csv,mcmc-jags.csv,scite-ru.csv,bl-toolkit.csv,nicepress.csv,sbml.csv,gpac.csv,mbse.csv,gebr.csv,gretl.csv,kowari.csv,libtorrent.csv,modellus.csv,kindb.csv,lufa-lib.csv,bibletime.csv,mplayer-ce.csv,miranda.csv
bibletime.csv,14.0,2.0,1.0,7.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,11.0,0.0,0.0,2.0
bl-toolkit.csv,15.0,0.0,4.0,0.0,8.0,0.0,14.0,1.0,0.0,0.0,0.0,2.0,16.0,0.0,0.0,2.0,11.0,0.0,0.0,3.0
capcode.csv,0.0,0.0,3.0,5.0,12.0,0.0,11.0,1.0,0.0,19.0,0.0,0.0,7.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0
gebr.csv,0.0,0.0,4.0,0.0,4.0,0.0,15.0,1.0,0.0,9.0,0.0,1.0,8.0,1.0,2.0,2.0,11.0,0.0,0.0,4.0
gpac.csv,12.0,0.0,3.0,0.0,9.0,0.0,12.0,1.0,0.0,3.0,0.0,2.0,10.0,1.0,0.0,2.0,11.0,0.0,3.0,3.0
gretl.csv,0.0,1.0,1.0,2.0,7.0,3.0,12.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,4.0,1.0,5.0,2.0
kindb.csv,0.0,0.0,1.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
kowari.csv,0.0,0.0,4.0,0.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,0.0,8.0,0.0,0.0,5.0
libtorrent.csv,0.0,3.0,4.0,0.0,7.0,1.0,7.0,1.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,1.0,9.0,0.0,0.0,4.0
linuxsh.csv,0.0,0.0,0.0,0.0,72.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,4.0,0.0,1.0,0.0,7.0,1.0
lmms.csv,10.0,1.0,16.0,0.0,4.0,2.0,10.0,1.0,0.0,35.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0
lufa-lib.csv,0.0,0.0,4.0,0.0,8.0,0.0,15.0,1.0,0.0,7.0,0.0,0.0,15.0,1.0,4.0,3.0,3.0,0.0,0.0,2.0
mbse.csv,7.0,2.0,10.0,0.0,2.0,0.0,4.0,1.0,1.0,2.0,0.0,1.0,3.0,1.0,0.0,2.0,11.0,0.0,2.0,1.0
mcmc-jags.csv,0.0,1.0,4.0,0.0,2.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,4.0,3.0,0.0,1.0,0.0,2.0
miranda.csv,6.0,1.0,65.0,0.0,72.0,0.0,2.0,1.0,0.0,5.0,135.0,0.0,5.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0
modellus.csv,0.0,0.0,2.0,0.0,72.0,0.0,4.0,2.0,0.0,23.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0
mplayer-ce.csv,0.0,3.0,6.0,0.0,10.0,0.0,4.0,2.0,0.0,4.0,0.0,0.0,8.0,0.0,2.0,2.0,3.0,0.0,0.0,1.0
nicepress.csv,16.0,2.0,24.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,20.0,1.0,0.0,6.0,1.0,0.0,0.0,3.0
sbml.csv,9.0,0.0,4.0,0.0,6.0,1.0,6.0,0.0,0.0,16.0,0.0,2.0,1.0,0.0,0.0,4.0,11.0,0.0,2.0,5.0
scite-ru.csv,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,4.0,2.0,2.0,1.0,0.0,3.0
