,dsworkbench.csv,gogoego.csv,cleartk.csv,jpaul.csv,scenemonitor.csv,yarp0.csv,motu.csv,rtrt-on-gpu.csv,mp-rechnungs-und-kundenverwaltung.csv,xstore.csv,loki-lib.csv,zemljanka.csv
cleartk.csv,2.0,21.0,0.0,0.0,0.0,3.0,9.0,3.0,1.0,5.0,4.0,0.0
dsworkbench.csv,0.0,5.0,1.0,1.0,0.0,11.0,11.0,15.0,8.0,3.0,4.0,0.0
gogoego.csv,0.0,0.0,0.0,2.0,0.0,3.0,7.0,11.0,0.0,2.0,0.0,0.0
jpaul.csv,0.0,0.0,0.0,0.0,0.0,3.0,2.0,57.0,0.0,0.0,74.0,0.0
loki-lib.csv,2.0,1.0,0.0,7.0,0.0,1.0,3.0,3.0,1.0,3.0,0.0,0.0
motu.csv,0.0,1.0,1.0,4.0,51.0,53.0,0.0,57.0,0.0,0.0,1.0,0.0
mp-rechnungs-und-kundenverwaltung.csv,1.0,2.0,1.0,2.0,0.0,0.0,7.0,3.0,0.0,5.0,1.0,0.0
rtrt-on-gpu.csv,1.0,1.0,2.0,4.0,0.0,7.0,6.0,0.0,0.0,6.0,3.0,0.0
scenemonitor.csv,4.0,3.0,1.0,1.0,0.0,2.0,3.0,8.0,0.0,3.0,3.0,0.0
xstore.csv,0.0,10.0,0.0,2.0,8.0,7.0,2.0,1.0,0.0,0.0,1.0,0.0
yarp0.csv,1.0,1.0,1.0,1.0,9.0,0.0,7.0,57.0,0.0,7.0,1.0,0.0
zemljanka.csv,1.0,4.0,1.0,1.0,0.0,6.0,12.0,3.0,0.0,5.0,2.0,0.0
