,0,1,2,3,4,5
kml.csv,0.0,1.0,0.0,1.0,0.0,1.0
unicase.csv,0.41,0.0,0.48,0.0,0.27,0.0
zoolib.csv,0.8,0.0,0.82,0.0,0.0,0.0
ontopia.csv,0.0,0.0,0.43,0.0,0.0,0.0
repositorium.csv,0.0,0.0,0.0,0.0,0.0,0.0
pgui.csv,0.55,0.79,0.46,0.79,0.0,0.79
ultimairis.csv,0.4,0.29,0.47,0.29,0.0,0.29
galaxium.csv,0.49,0.96,0.9,0.96,0.8,0.96
sigil.csv,0.64,0.71,0.79,0.71,0.0,0.71
ardour.csv,0.81,0.72,0.62,0.72,0.0,0.72
irplus.csv,0.0,0.0,0.83,0.0,0.0,0.0
xfce.csv,0.66,0.0,0.73,0.0,0.0,0.0
projecteqemu.csv,0.0,0.44,0.42,0.44,0.0,0.44
personalaccess.csv,0.1,0.0,0.38,0.0,0.71,0.0
pcsx2.csv,0.06,0.59,0.61,0.59,0.0,0.59
multitude.csv,0.33,0.55,0.55,0.55,0.0,0.55
virtuoso.csv,0.86,0.0,0.86,0.0,0.0,0.0
jrdf.csv,0.45,0.0,0.79,0.0,0.45,0.0
jgossipforum.csv,0.0,0.0,0.8,0.0,0.21,0.0
ingex.csv,0.59,0.65,0.59,0.65,0.0,0.65
papertoolkit.csv,0.83,0.0,0.83,0.0,0.0,0.0
modplug.csv,0.62,0.77,1.0,0.77,0.0,0.77
xcmetadataservicestoolkit.csv,0.0,0.68,0.0,0.68,0.0,0.68
bionote.csv,,,,,,
openfrag.csv,0.56,0.56,0.45,0.56,0.0,0.56
super-tux.csv,0.56,0.0,0.92,0.0,0.0,0.0
uclmda.csv,0.0,1.0,0.0,1.0,0.0,1.0
glas.csv,0.91,0.53,0.68,0.53,0.0,0.53
itext.csv,0.83,0.94,0.83,0.94,0.0,0.94
pydev.csv,0.54,0.51,0.53,0.51,0.0,0.51
octet.csv,0.0,0.95,0.0,0.95,0.0,0.95
auber.csv,0.54,0.6,0.71,0.6,0.0,0.6
rebecca-aiml.csv,0.23,0.65,0.0,0.65,0.27,0.65
dataobjectsdotnet.csv,0.29,0.79,0.43,0.79,0.25,0.79
jparsec.csv,0.52,0.49,0.47,0.49,0.85,0.49
twostep.csv,0.29,1.0,0.94,1.0,0.0,1.0
xbg.csv,0.96,0.0,0.91,0.0,0.0,0.0
joustsim.csv,0.0,0.0,0.0,0.0,0.0,0.0
ofbiz.csv,0.52,0.69,0.78,0.69,0.0,0.69
kftpgrabber.csv,0.91,0.5,0.6,0.5,0.0,0.5
smartgwt.csv,0.74,0.75,0.74,0.75,0.72,0.75
img-browse-sort.csv,0.38,0.0,0.91,0.0,0.0,0.0
adobe-source.csv,0.0,0.0,0.71,0.0,0.0,0.0
ibatisdb.csv,0.74,0.96,0.65,0.96,0.0,0.96
madman.csv,,,,,,
soar.csv,0.0,0.5,0.28,0.5,1.0,0.5
lufa-lib.csv,0.61,0.64,0.7,0.64,0.0,0.64
somap.csv,0.17,0.0,0.34,0.0,0.0,0.0
netatalk.csv,0.88,0.0,0.88,0.0,0.0,0.0
google-web-toolkit.csv,0.46,0.35,0.53,0.35,0.52,0.35
megameknet.csv,0.76,0.45,0.76,0.45,0.73,0.45
power-architect.csv,0.45,0.6,0.0,0.6,0.45,0.6
enzo.csv,0.35,0.84,0.45,0.84,0.0,0.84
lite.csv,0.54,0.54,0.83,0.54,0.42,0.54
hannosset.csv,,,,,,
lportal.csv,0.75,0.0,0.77,0.0,0.33,0.0
geotools.csv,0.74,0.15,0.74,0.15,0.52,0.15
xined.csv,0.62,0.0,0.0,0.0,0.0,0.0
reaper3d.csv,0.0,0.0,0.0,0.0,0.0,0.0
openmsx.csv,0.41,0.43,0.41,0.43,0.0,0.43
loki-lib.csv,0.54,0.28,0.29,0.28,0.0,0.28
lphant.csv,0.72,0.91,0.91,0.91,0.0,0.91
ns-3-dev-def-routing.csv,0.6,0.37,0.55,0.37,0.0,0.37
wxcode.csv,0.94,0.0,0.83,0.0,0.0,0.0
