,reactos-mirror.csv,flylegacy.csv,etics.csv,bloodycore.csv,gzigzag.csv,blue-c.csv,jguard.csv,flexpay.csv,unbvision.csv,ppcboot.csv,auber.csv,img-browse-sort.csv,qdvdauthor.csv,biodwh.csv,ftm.csv,jcache.csv
auber.csv,4.0,0.0,11.0,0.0,10.0,0.0,6.0,1.0,7.0,0.0,0.0,0.0,0.0,16.0,2.0,5.0
biodwh.csv,0.0,1.0,4.0,20.0,1.0,0.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
bloodycore.csv,0.0,1.0,0.0,0.0,1.0,1.0,85.0,1.0,0.0,0.0,9.0,2.0,0.0,15.0,1.0,1.0
blue-c.csv,0.0,0.0,17.0,1.0,18.0,0.0,5.0,1.0,5.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0
etics.csv,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,2.0,5.0,0.0,18.0,0.0,1.0
flexpay.csv,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,15.0,1.0,2.0
flylegacy.csv,14.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,1.0,2.0,2.0,0.0
ftm.csv,0.0,2.0,0.0,0.0,11.0,0.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gzigzag.csv,0.0,1.0,2.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,2.0,4.0,0.0,5.0,1.0,24.0
img-browse-sort.csv,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,2.0,0.0
jcache.csv,0.0,4.0,4.0,14.0,3.0,0.0,4.0,2.0,1.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0
jguard.csv,0.0,1.0,0.0,1.0,24.0,0.0,0.0,2.0,22.0,0.0,0.0,2.0,0.0,16.0,5.0,0.0
ppcboot.csv,0.0,0.0,16.0,0.0,12.0,2.0,0.0,7.0,4.0,0.0,1.0,0.0,0.0,7.0,2.0,3.0
qdvdauthor.csv,0.0,0.0,16.0,0.0,24.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,7.0,2.0,3.0
reactos-mirror.csv,0.0,2.0,15.0,18.0,1.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0
unbvision.csv,3.0,0.0,0.0,0.0,1.0,2.0,6.0,2.0,0.0,0.0,8.0,5.0,1.0,18.0,1.0,3.0
