,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,elynx.csv,cascading.csv,xcmetadataservicestoolkit.csv,gnome-jabber.csv,glelite.csv,olex2.csv,tencompetence.csv,gisgraphy.csv
cascading.csv,0.0,3.0,12.0,0.0,14.0,1.0,59.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
crisscross.csv,0.0,17.0,0.0,0.0,28.0,0.0,17.0,0.0,1.0,3.0,0.0,4.0,0.0,1.0
gisgraphy.csv,0.0,56.0,18.0,1.0,68.0,215.0,59.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0
glelite.csv,0.0,11.0,1.0,0.0,28.0,0.0,16.0,0.0,1.0,3.0,0.0,2.0,0.0,1.0
gnome-jabber.csv,1.0,7.0,1.0,0.0,20.0,2.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
ivataopenportal.csv,0.0,17.0,9.0,0.0,22.0,0.0,59.0,3.0,1.0,2.0,0.0,4.0,0.0,2.0
mb-unit.csv,0.0,7.0,8.0,0.0,28.0,0.0,13.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
mvdsv.csv,0.0,2.0,120.0,0.0,0.0,1.0,59.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
nova.csv,0.0,2.0,17.0,0.0,68.0,0.0,11.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0
olex2.csv,8.0,5.0,2.0,0.0,23.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
openwbem.csv,1.0,4.0,5.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
tencompetence.csv,0.0,3.0,8.0,0.0,68.0,0.0,12.0,0.0,1.0,3.0,0.0,2.0,0.0,1.0
xcmetadataservicestoolkit.csv,3.0,56.0,17.0,0.0,19.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0
