,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv
gwanted.csv,0.0,0.0,3.0,4.0,1.0,0.0,1.0,1.0,1.0,62.0,3.0
ivatamasks.csv,4.0,0.0,27.0,1.0,0.0,1.0,3.0,4.0,2.0,0.0,0.0
java-gnome.csv,8.0,0.0,19.0,2.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0
orc.csv,0.0,0.0,1.0,1.0,0.0,1.0,1.0,8.0,0.0,62.0,1.0
plato.csv,3.0,0.0,17.0,2.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0
rodin-b-sharp.csv,1.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,0.0,62.0,0.0
tycho.csv,9.0,0.0,12.0,1.0,1.0,0.0,3.0,5.0,1.0,0.0,0.0
umber.csv,1.0,0.0,17.0,2.0,1.0,0.0,1.0,20.0,0.0,5.0,0.0
unicase.csv,1.0,0.0,11.0,0.0,1.0,0.0,1.0,23.0,0.0,0.0,0.0
vienna-add-in.csv,10.0,0.0,15.0,2.0,0.0,0.0,1.0,43.0,0.0,0.0,0.0
wpdev.csv,4.0,0.0,17.0,2.0,0.0,0.0,1.0,23.0,0.0,0.0,0.0
