,campsoft.csv,gtad.csv,rhex.csv,owlib.csv,ktc.csv,jedit.csv,net-snmp.csv,encog-java.csv,umber.csv,jahshakafx.csv,jahshaka.csv,selenium.csv,paintown.csv,h2database.csv,x4x.csv,elmo.csv,jmoney.csv,google-collections.csv,baadengine.csv,raven-monitoring.csv,smbopensoft.csv,xharbour.csv,flylinkdc.csv,reactos-mirror.csv,qpe.csv,xbrlapi.csv,prelude.csv,neoengine.csv,atunes.csv,avifile.csv,lamp.csv,logicmail.csv,wgs-assembler.csv,plearn.csv,werx.csv,plog4u.csv,openwbem.csv,qgo.csv,jaql.csv,kmatplot.csv,pclasses.csv,agilitybook.csv,triplea.csv,raygina.csv,wpdev.csv,owfs.csv,olap-navigator.csv,pokeglobal.csv,nova.csv,sauerbraten.csv,graphmak.csv,jgameai.csv,gpsmid.csv,empyrean.csv,awemud.csv,crisscross.csv,re2c.csv,tzod.csv,octave.csv,adaptagrams.csv,open-media-library.csv,vdsf.csv,alit.csv,orc.csv,lazarus-ccr.csv,n2cms.csv,forester-atv.csv,mob-sen-plat.csv,nh3d.csv,amanda.csv,rectracker.csv,dynalloy.csv,mpqc.csv,thout.csv,benojt.csv,sabbu.csv,unladen-swallow.csv,powerfolder-.csv,barracudamvc.csv,guineu.csv
nova.csv,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.02,0.01,0.0,0.45,0.0,0.35,0.05,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.1,0.24,0.0,0.0,0.0,0.07,0.12,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.1,0.36,0.0,0.0,0.32,0.0,0.09,0.23,0.0,,0.0,0.12,0.0,0.0,0.32,0.17,0.43,0.0,0.0,0.0,0.19,0.0,0.0,0.03,0.06,0.0,0.02,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.0,0.0,0.0,0.2,0.04
octave.csv,1.0,1.0,1.0,0.05,0.0,0.0,0.0,0.77,0.05,0.0,1.0,0.77,0.62,0.0,1.0,0.8,1.0,0.64,0.0,0.86,0.86,0.0,0.0,0.0,0.0,0.98,1.0,0.17,0.05,0.0,0.93,1.0,0.0,0.02,1.0,1.0,0.0,0.6,0.68,0.9,1.0,0.0,0.59,1.0,0.16,0.91,0.97,0.66,1.0,0.59,1.0,1.0,0.92,1.0,0.95,1.0,0.0,0.89,,1.0,0.5,0.0,0.87,1.0,0.0,0.88,0.19,1.0,0.0,0.0,0.86,0.73,0.0,0.95,0.98,0.74,0.0,0.87,1.0,0.96
olap-navigator.csv,1.0,1.0,0.25,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.55,0.27,0.13,0.0,0.74,0.4,0.9,0.39,0.0,0.23,0.31,0.0,0.0,0.0,0.0,0.76,0.9,0.0,0.05,0.0,0.07,0.88,0.0,0.0,0.98,1.0,0.0,0.37,0.32,0.24,0.36,0.0,0.25,0.8,0.0,0.36,,0.24,0.38,0.0,0.84,0.73,0.41,0.75,0.71,1.0,0.0,0.07,0.0,1.0,0.12,0.0,0.85,0.88,0.0,0.46,0.04,0.21,0.0,0.0,0.61,0.02,0.0,0.66,0.72,0.36,0.0,0.74,0.79,0.5
open-media-library.csv,1.0,0.5,0.58,0.55,1.0,1.0,0.24,0.86,0.21,0.88,0.45,0.5,0.53,1.0,0.52,0.0,0.55,0.02,0.9,0.83,0.99,1.0,0.89,1.0,0.79,0.48,0.0,0.84,0.91,0.6,0.5,0.45,0.87,0.78,0.62,0.0,0.99,0.73,0.73,0.76,0.55,0.76,0.38,0.36,0.59,0.0,0.16,0.73,0.0,0.77,0.76,0.31,0.86,0.29,0.47,0.76,1.0,0.63,0.68,0.62,,0.99,0.2,0.5,1.0,0.52,0.92,0.64,1.0,0.96,0.7,0.73,1.0,0.36,0.65,0.74,1.0,0.45,0.67,0.69
openwbem.csv,1.0,1.0,1.0,0.87,0.0,0.72,0.61,1.0,1.0,0.79,1.0,0.98,0.99,0.19,1.0,1.0,1.0,0.98,0.62,1.0,1.0,0.0,0.49,0.0,0.72,1.0,1.0,0.89,1.0,0.2,1.0,1.0,0.74,0.9,1.0,1.0,,1.0,1.0,1.0,1.0,0.61,0.94,1.0,0.8,1.0,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.95,1.0,1.0,0.92,0.83,1.0,0.79,1.0,0.81,1.0,0.0,0.63,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
orc.csv,0.0,1.0,0.33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.53,0.79,1.0,0.0,0.0,0.3,0.99,1.0,0.54,0.98,1.0,1.0,1.0,1.0,0.07,0.0,1.0,1.0,1.0,0.79,0.06,1.0,1.0,0.0,0.0,1.0,0.97,1.0,0.79,0.0,1.0,1.0,0.0,1.0,0.09,0.02,1.0,0.0,1.0,0.08,0.0,0.88,0.0,0.21,0.0,1.0,0.81,1.0,0.38,1.0,1.0,0.0,,1.0,0.79,1.0,0.0,1.0,1.0,1.0,0.92,1.0,0.09,0.05,0.33,1.0,1.0,0.1,0.38
owfs.csv,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.73,0.05,0.0,0.0,0.76,0.0,0.45,0.01,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.43,0.93,0.0,0.0,0.0,0.21,0.39,0.0,0.0,0.75,1.0,0.0,0.0,0.0,0.14,0.36,0.0,0.03,0.76,0.0,,0.51,0.0,0.77,0.0,0.32,0.54,0.0,0.68,0.04,0.67,0.0,0.0,0.0,0.58,0.0,0.0,0.51,0.25,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.02,0.0,0.5,0.48,0.0,0.0,0.0,0.35,0.62
owlib.csv,1.0,1.0,0.83,,0.0,0.05,0.46,0.7,0.37,0.81,0.82,0.67,0.56,0.04,0.83,0.8,0.85,0.49,0.2,0.63,0.76,0.0,0.14,0.0,0.49,0.71,0.74,0.82,0.23,0.2,0.86,0.88,0.46,0.49,0.65,1.0,0.24,0.27,0.64,0.86,0.73,0.55,0.66,1.0,0.44,1.0,0.67,0.88,0.92,0.85,0.84,0.62,0.86,0.9,0.68,1.0,0.0,0.85,0.59,0.96,0.62,0.6,0.15,0.94,0.04,0.6,0.73,0.73,0.25,0.6,0.91,0.87,0.0,0.66,0.86,0.72,0.0,0.9,0.9,0.81
paintown.csv,1.0,1.0,1.0,0.19,0.0,0.0,0.0,0.18,0.79,0.01,1.0,0.73,,0.0,0.88,0.4,0.25,0.32,0.02,0.4,0.43,0.0,0.0,0.0,0.26,0.83,1.0,0.88,0.05,0.2,0.43,0.7,0.0,0.05,0.86,0.0,0.0,0.17,0.59,0.97,1.0,0.03,0.25,1.0,0.22,1.0,0.67,0.41,1.0,0.54,0.84,0.92,0.41,0.99,1.0,1.0,0.0,0.3,0.36,1.0,0.0,0.0,0.54,0.44,0.0,0.58,0.12,0.24,0.0,0.0,0.32,0.65,0.0,0.64,0.89,0.02,0.0,0.32,0.81,0.54
pclasses.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.25,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.29,0.0,0.0,0.7,0.02,0.03,,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.08,0.0,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.12,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.04,0.0,0.07,0.05,0.0,0.0,0.0,0.28,0.23
plearn.csv,1.0,1.0,0.92,0.15,0.0,0.0,0.0,0.64,0.11,0.0,0.82,0.85,0.49,0.0,1.0,0.2,0.95,0.35,0.01,0.51,0.93,0.0,0.0,0.0,0.0,0.93,0.67,0.31,0.0,0.0,0.64,0.94,0.0,,1.0,1.0,0.0,0.57,0.7,0.83,1.0,0.0,0.25,1.0,0.24,0.64,1.0,0.66,0.92,0.33,0.96,0.88,0.78,0.99,0.82,1.0,0.0,0.67,0.0,1.0,0.35,0.0,0.17,0.94,0.0,0.71,0.19,0.73,0.0,0.0,0.64,0.85,0.0,0.82,0.92,0.45,0.0,0.94,0.99,0.92
pokeglobal.csv,1.0,1.0,0.92,0.19,0.0,0.0,0.07,0.86,0.89,0.0,1.0,0.75,0.91,0.0,1.0,1.0,1.0,0.19,0.02,0.94,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.12,0.0,0.0,1.0,1.0,0.0,0.05,1.0,1.0,0.0,0.6,0.9,1.0,1.0,0.0,0.62,1.0,0.49,1.0,1.0,,1.0,0.51,1.0,1.0,0.92,1.0,1.0,1.0,0.0,0.81,0.27,1.0,0.42,0.07,0.39,1.0,0.0,0.94,0.19,1.0,0.0,0.0,0.84,0.81,0.0,1.0,0.98,0.93,0.0,0.55,1.0,0.96
powerfolder-.csv,0.0,0.5,0.08,0.59,0.17,0.41,0.02,0.59,0.79,0.17,0.18,0.22,0.21,0.3,0.43,0.2,0.75,0.55,0.18,0.14,0.29,0.41,0.19,0.0,0.23,0.4,0.55,0.24,0.59,0.6,0.0,0.58,0.38,0.66,0.8,0.0,0.2,0.8,0.61,0.38,0.36,0.11,0.47,0.2,0.26,0.36,0.3,0.17,0.0,0.03,0.52,0.19,0.47,0.32,0.22,0.57,0.0,0.63,0.27,0.81,0.28,0.03,0.77,0.62,0.29,0.17,0.42,0.3,0.0,0.21,0.46,0.04,0.05,0.23,0.13,0.24,0.0,,0.43,0.46
prelude.csv,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.13,0.0,0.0,0.83,0.2,0.9,0.01,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.6,,0.0,0.0,0.0,0.14,0.94,0.0,0.0,0.76,1.0,0.0,0.0,0.0,0.07,1.0,0.0,0.0,0.92,0.0,0.36,0.67,0.02,1.0,0.0,0.8,0.42,0.0,0.94,0.56,0.9,0.0,0.0,0.0,0.92,0.0,0.0,0.18,0.75,0.0,0.12,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.48,0.68,0.0,0.0,0.03,0.91,0.81
qgo.csv,1.0,1.0,1.0,0.2,0.0,0.0,0.0,0.98,0.95,0.0,1.0,0.83,0.9,0.0,1.0,1.0,1.0,0.84,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.17,0.14,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,1.0,0.93,1.0,0.0,0.94,1.0,0.33,1.0,1.0,0.9,1.0,0.23,1.0,0.92,0.98,1.0,1.0,1.0,0.0,0.96,0.68,1.0,0.92,0.1,,1.0,0.0,1.0,0.23,1.0,0.0,0.0,1.0,0.88,0.0,1.0,0.98,0.98,0.0,0.94,1.0,0.92
qpe.csv,1.0,1.0,0.92,0.35,0.0,0.0,0.0,0.86,0.21,0.0,1.0,0.97,0.79,0.0,1.0,1.0,1.0,0.74,0.05,1.0,0.95,0.0,0.0,0.0,,1.0,1.0,0.49,0.32,0.0,1.0,1.0,0.0,0.24,1.0,1.0,0.0,0.67,0.94,1.0,1.0,0.0,0.53,1.0,0.42,1.0,1.0,0.88,1.0,0.85,1.0,1.0,0.96,1.0,1.0,1.0,0.0,1.0,0.09,1.0,0.68,0.3,0.72,1.0,0.0,1.0,0.35,1.0,0.0,0.0,0.93,0.94,0.0,1.0,1.0,0.95,0.0,1.0,1.0,1.0
raven-monitoring.csv,0.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.95,1.0,0.09,0.43,0.69,1.0,0.14,0.2,0.75,0.98,0.98,,0.97,1.0,1.0,1.0,1.0,0.4,0.05,0.97,1.0,1.0,0.36,0.33,1.0,1.0,0.08,0.0,1.0,0.67,0.9,0.72,0.09,0.97,0.94,0.0,0.93,0.36,0.08,0.68,0.0,0.9,0.2,0.08,0.8,0.03,0.37,0.0,1.0,0.67,0.91,0.35,0.9,0.98,0.0,0.62,1.0,0.75,1.0,0.15,1.0,1.0,0.75,0.4,1.0,0.5,0.08,0.81,1.0,0.87,0.42,0.35
raygina.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97,1.0,1.0,0.56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.56,1.0,0.31,1.0,0.96,0.42,1.0,0.78,1.0,0.76,1.0,1.0,1.0,1.0,1.0,1.0,0.11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.9,1.0,1.0,1.0,1.0,0.88
re2c.csv,0.0,0.0,0.0,0.01,0.43,0.08,0.02,0.0,0.0,0.34,0.09,0.47,0.03,0.15,0.02,0.0,0.0,0.1,0.07,0.09,0.0,0.06,0.24,1.0,0.31,0.07,0.0,0.09,0.0,0.0,0.0,0.0,0.03,0.0,0.01,0.0,0.07,0.23,0.0,0.1,0.09,0.11,0.12,0.0,0.01,0.0,0.13,0.0,0.23,0.23,0.0,0.5,0.04,0.01,0.03,0.1,,0.0,0.0,0.0,0.15,0.0,0.01,0.0,0.29,0.02,0.08,0.0,0.0,0.02,0.0,0.27,0.15,0.14,0.07,0.03,1.0,0.06,0.01,0.04
reactos-mirror.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rectracker.csv,1.0,1.0,1.0,0.72,0.49,0.46,0.98,0.89,0.89,0.94,0.73,0.82,0.85,0.92,1.0,0.8,0.9,0.79,0.43,0.69,0.97,0.62,0.78,0.0,0.69,0.9,0.62,0.8,0.73,0.4,0.93,0.85,0.87,0.8,0.83,1.0,0.64,0.63,0.77,0.93,0.73,0.63,0.66,0.96,0.77,0.73,0.75,0.66,0.85,0.95,0.96,0.92,0.9,0.72,0.78,0.76,0.5,0.78,0.91,0.85,0.8,0.48,0.28,0.94,0.79,0.83,0.92,0.94,0.25,0.63,,1.0,0.4,0.91,0.96,0.72,0.0,0.97,0.92,0.96
rhex.csv,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.12,0.0,0.0,0.76,0.0,0.25,0.04,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.45,0.52,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.6,0.0,0.36,0.25,0.0,0.15,0.0,0.08,0.54,0.0,0.32,0.03,0.86,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.12,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.27,0.26,0.0,0.0,0.0,0.58,0.15
sabbu.csv,1.0,0.0,0.42,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.36,0.38,0.26,0.0,0.81,1.0,0.95,0.0,0.0,0.2,0.9,0.0,0.0,0.0,0.0,0.62,1.0,0.02,0.0,0.0,0.36,0.45,0.0,0.0,0.43,1.0,0.0,0.03,0.17,0.62,0.82,0.0,0.09,0.96,0.02,0.91,0.75,0.12,0.77,0.0,0.24,0.65,0.39,0.99,0.82,0.95,0.0,0.52,0.05,0.96,0.18,0.0,0.86,0.56,0.0,0.67,0.08,0.39,0.0,0.0,0.21,0.5,0.0,0.75,0.71,,0.0,0.61,0.7,0.42
sauerbraten.csv,1.0,1.0,1.0,0.7,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.96,0.56,1.0,1.0,0.0,0.0,0.0,0.03,1.0,1.0,1.0,0.5,0.6,1.0,1.0,0.0,0.73,1.0,1.0,0.0,0.97,0.98,1.0,1.0,0.0,0.94,1.0,0.67,1.0,1.0,0.8,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.96,0.27,1.0,0.98,0.99,,1.0,0.0,1.0,0.77,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
selenium.csv,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.06,0.0,1.0,0.2,1.0,0.15,0.0,0.6,0.7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.01,0.55,1.0,0.0,0.03,1.0,0.0,0.82,1.0,0.1,1.0,0.0,1.0,1.0,0.04,1.0,0.95,1.0,0.0,0.3,0.0,1.0,0.0,0.0,0.94,1.0,0.0,0.38,0.0,0.91,0.0,0.0,0.41,0.42,0.0,1.0,1.0,0.26,0.0,0.35,1.0,1.0
smbopensoft.csv,1.0,1.0,0.75,0.04,0.0,0.0,0.0,0.5,0.0,0.0,0.91,0.85,0.46,0.0,0.98,1.0,0.95,0.86,0.0,0.69,,0.0,0.0,0.0,0.0,0.93,1.0,0.03,0.0,0.0,0.93,0.88,0.0,0.0,0.62,1.0,0.0,0.2,0.41,0.69,0.91,0.0,0.62,1.0,0.12,1.0,0.82,0.51,1.0,0.64,0.72,1.0,0.76,0.96,0.85,1.0,0.0,0.48,0.18,0.96,0.4,0.02,0.87,0.69,0.0,0.71,0.19,0.91,0.0,0.0,0.43,0.73,0.0,0.93,0.97,0.9,0.0,0.9,0.84,0.85
thout.csv,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.0,0.0,1.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.96,1.0,0.0,1.0,0.44,1.0,0.0,0.0,0.0,0.46,0.0,0.0,,0.69,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,,0.73,0.0,0.0,0.0,1.0,0.69
triplea.csv,0.0,0.5,0.17,0.99,1.0,1.0,1.0,0.73,1.0,1.0,0.0,0.22,0.53,1.0,0.02,0.0,0.15,0.61,0.94,0.17,0.07,1.0,1.0,1.0,1.0,0.12,0.0,1.0,1.0,1.0,0.0,0.18,1.0,1.0,0.01,0.0,1.0,0.7,0.47,0.48,0.0,1.0,,0.0,0.88,0.0,0.03,0.37,0.0,0.97,0.12,0.04,0.57,0.0,0.03,0.0,1.0,0.67,0.91,0.54,0.68,1.0,0.0,0.19,1.0,0.25,1.0,0.0,1.0,1.0,0.45,0.19,1.0,0.07,0.17,0.5,1.0,0.55,0.09,0.19
tzod.csv,1.0,1.0,1.0,0.03,0.0,0.0,0.0,0.32,0.0,0.0,0.91,0.45,0.53,0.0,0.95,1.0,0.55,0.09,0.0,0.63,0.02,0.0,0.0,0.0,0.0,0.83,1.0,0.04,0.0,0.2,0.64,0.85,0.0,0.0,0.65,1.0,0.0,0.03,0.34,0.9,1.0,0.0,0.25,1.0,0.01,1.0,0.51,0.2,1.0,0.23,0.76,0.88,0.43,1.0,0.97,1.0,0.0,,0.27,1.0,0.28,0.0,0.63,0.56,0.0,0.48,0.04,0.94,0.0,0.0,0.23,0.44,0.0,0.61,0.71,0.83,0.0,0.42,0.74,0.85
umber.csv,1.0,1.0,1.0,0.29,0.0,0.0,0.0,0.64,,0.0,1.0,0.77,0.84,0.0,1.0,1.0,1.0,0.95,0.03,0.97,0.94,0.0,0.0,0.0,0.0,0.95,1.0,0.24,0.05,0.0,1.0,1.0,0.0,0.15,0.99,1.0,0.0,0.27,0.8,0.86,1.0,0.0,0.91,1.0,0.38,1.0,0.98,0.68,1.0,0.05,1.0,1.0,0.82,1.0,1.0,1.0,0.0,0.41,0.41,1.0,0.57,0.53,0.96,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.58,0.0,1.0,0.98,1.0,0.0,0.84,1.0,0.92
unladen-swallow.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
vdsf.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
werx.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.88,1.0,1.0,0.89,1.0,0.54,1.0,1.0,0.96,1.0,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.99,1.0,1.0,1.0,0.99,0.96
wgs-assembler.csv,1.0,1.0,1.0,0.72,0.0,0.0,0.1,1.0,0.95,0.42,1.0,1.0,0.94,0.0,1.0,1.0,1.0,0.86,0.26,1.0,1.0,0.0,0.0,0.0,0.46,1.0,1.0,0.82,0.91,0.2,1.0,1.0,,0.63,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.16,0.91,1.0,0.67,1.0,1.0,0.93,1.0,0.97,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.96,0.73,1.0,0.98,0.48,0.0,1.0,0.0,1.0,0.85,1.0,0.0,0.15,1.0,1.0,0.0,1.0,1.0,0.97,0.0,1.0,1.0,1.0
wpdev.csv,1.0,1.0,1.0,0.96,0.0,0.77,0.83,1.0,1.0,0.97,1.0,0.95,1.0,0.34,1.0,1.0,1.0,0.99,0.99,1.0,1.0,0.0,0.32,0.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.92,1.0,1.0,1.0,0.79,1.0,1.0,1.0,1.0,0.84,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.83,1.0,0.92,1.0,0.0,0.75,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
x4x.csv,1.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.01,0.0,,1.0,0.55,0.06,0.0,0.23,0.23,0.0,0.0,0.0,0.0,0.81,1.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.03,1.0,0.0,0.0,1.0,0.0,0.36,0.9,0.0,1.0,0.0,0.92,0.96,0.04,1.0,0.65,1.0,0.0,0.0,0.0,0.77,0.0,0.0,0.94,0.69,0.0,0.19,0.0,0.79,0.0,0.0,0.21,0.04,0.0,0.57,0.89,0.0,0.0,0.06,0.99,0.42
xbrlapi.csv,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.62,0.0,0.15,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,,0.83,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.92,0.0,0.0,0.23,0.0,0.46,0.0,0.12,0.42,0.0,0.78,0.05,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.0,0.0,0.0,0.43,0.23
xharbour.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
