,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,3.0,2.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0
aubit4gl.csv,5.0,0.0,3.0,12.0,0.0,4.0,0.0,0.0,1.0,11.0
liferea.csv,1.0,56.0,9.0,0.0,0.0,7.0,0.0,0.0,1.0,15.0
moving-pictures.csv,4.0,0.0,19.0,2.0,2.0,11.0,0.0,1.0,3.0,11.0
opensim4opencog.csv,2.0,56.0,3.0,3.0,1.0,0.0,1.0,0.0,2.0,161.0
plearn.csv,0.0,10.0,9.0,13.0,2.0,7.0,0.0,1.0,3.0,10.0
psrchive.csv,2.0,56.0,0.0,0.0,0.0,2.0,58.0,0.0,1.0,4.0
re2c.csv,6.0,0.0,2.0,5.0,2.0,12.0,0.0,0.0,3.0,12.0
rebecca-aiml.csv,4.0,0.0,11.0,10.0,2.0,4.0,0.0,0.0,0.0,4.0
xfce.csv,1.0,0.0,2.0,3.0,2.0,7.0,0.0,0.0,2.0,4.0
