,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv,natpad.csv
ikvm.csv,0.0,0.0,68.0,5.0,1.0,1.0,2.0,61.0,11.0,4.0,3.0
libtorrent.csv,0.0,2.0,5.0,0.0,0.0,0.0,3.0,27.0,0.0,2.0,0.0
mcmc-jags.csv,0.0,4.0,6.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0
natpad.csv,0.0,0.0,35.0,0.0,0.0,1.0,3.0,3.0,2.0,4.0,0.0
nebuladevice.csv,0.0,6.0,45.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0
olap-navigator.csv,0.0,0.0,11.0,0.0,0.0,1.0,1.0,21.0,1.0,4.0,0.0
pidgin.csv,0.0,1.0,30.0,1.0,0.0,1.0,2.0,26.0,19.0,1.0,0.0
salasaga.csv,0.0,0.0,49.0,0.0,1.0,1.0,4.0,0.0,5.0,6.0,1.0
sepgsql.csv,0.0,0.0,0.0,4.0,1.0,2.0,4.0,51.0,4.0,2.0,1.0
xstore.csv,0.0,7.0,13.0,0.0,0.0,0.0,0.0,17.0,14.0,0.0,4.0
xtreemfs.csv,0.0,1.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0
