,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,exist.csv,wheat.csv,power-architect.csv,bigdata.csv,wsmt.csv,opendvr.csv,icescrum.csv
apertium.csv,10.0,0.0,8.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,74.0,0.0
beast-mcmc.csv,1.0,0.0,7.0,1.0,0.0,0.0,7.0,1.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0
bigdata.csv,6.0,0.0,8.0,0.0,2.0,1.0,4.0,0.0,3.0,5.0,0.0,0.0,0.0,1.0,2.0,11.0
cuberok.csv,3.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,3.0,8.0,3.0,0.0,0.0,1.0,0.0,8.0
exist.csv,5.0,0.0,7.0,0.0,3.0,0.0,3.0,19.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0
icescrum.csv,6.0,2.0,4.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0
jbasic.csv,8.0,0.0,16.0,1.0,0.0,0.0,6.0,0.0,8.0,11.0,3.0,0.0,2.0,0.0,0.0,2.0
jrefactory.csv,9.0,1.0,11.0,1.0,1.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
jsecurity.csv,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,6.0,2.0,0.0,0.0,6.0,5.0,1.0
libopenmetaverse.csv,12.0,0.0,11.0,1.0,0.0,0.0,6.0,0.0,6.0,4.0,0.0,0.0,0.0,1.0,6.0,3.0
mobicents.csv,7.0,3.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0
opendvr.csv,9.0,5.0,5.0,4.0,1.0,2.0,2.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0
power-architect.csv,10.0,0.0,7.0,1.0,0.0,1.0,2.0,0.0,9.0,11.0,0.0,0.0,0.0,1.0,0.0,3.0
sidekar.csv,241.0,88.0,207.0,0.0,70.0,508.0,1.0,128.0,82.0,196.0,51.0,67.0,304.0,64.0,0.0,50.0
wheat.csv,6.0,1.0,18.0,0.0,5.0,0.0,3.0,3.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0
wsmt.csv,17.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,50.0
