,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,xbg.csv,gdis.csv,loki-lib.csv,exl.csv
avifile.csv,0.0,3.0,0.0,101.0,3.0,0.0,97.0,1.0,22.0,1.0,6.0,25.0,2.0,3.0,0.0,4.0,1.0
baadengine.csv,0.0,2.0,0.0,64.0,0.0,8.0,11.0,2.0,0.0,1.0,12.0,23.0,2.0,5.0,0.0,4.0,0.0
bibedt.csv,0.0,0.0,0.0,46.0,0.0,1.0,6.0,13.0,0.0,0.0,9.0,6.0,0.0,14.0,0.0,0.0,0.0
exl.csv,0.0,1.0,0.0,65.0,2.0,0.0,4.0,3.0,0.0,8.0,1.0,49.0,3.0,11.0,0.0,1.0,0.0
gdis.csv,0.0,2.0,0.0,101.0,1.0,1.0,7.0,5.0,0.0,8.0,15.0,11.0,0.0,10.0,0.0,5.0,0.0
gogoego.csv,0.0,19.0,0.0,47.0,0.0,0.0,10.0,0.0,1.0,3.0,27.0,1.0,6.0,13.0,0.0,2.0,0.0
httpcontentparser.csv,0.0,21.0,0.0,101.0,0.0,3.0,0.0,3.0,0.0,1.0,4.0,24.0,0.0,0.0,69.0,0.0,1.0
jaxlib.csv,0.0,1.0,0.0,101.0,1.0,2.0,0.0,5.0,0.0,8.0,3.0,2.0,0.0,2.0,0.0,1.0,0.0
jgameai.csv,0.0,69.0,0.0,101.0,0.0,2.0,97.0,2.0,1.0,1.0,187.0,16.0,6.0,62.0,0.0,0.0,53.0
jhotdraw.csv,0.0,2.0,0.0,53.0,4.0,0.0,97.0,5.0,0.0,7.0,7.0,24.0,5.0,17.0,0.0,4.0,0.0
loki-lib.csv,0.0,2.0,0.0,63.0,0.0,2.0,11.0,10.0,0.0,2.0,2.0,8.0,5.0,4.0,0.0,1.0,0.0
patterntesting.csv,1.0,2.0,0.0,81.0,0.0,0.0,9.0,5.0,0.0,1.0,6.0,21.0,0.0,14.0,2.0,2.0,0.0
pokeglobal.csv,1.0,3.0,0.0,14.0,0.0,7.0,11.0,0.0,0.0,6.0,6.0,49.0,2.0,1.0,0.0,4.0,0.0
werx.csv,1.0,3.0,0.0,83.0,4.0,0.0,11.0,5.0,0.0,8.0,6.0,25.0,2.0,15.0,0.0,4.0,0.0
xbg.csv,1.0,3.0,0.0,101.0,2.0,88.0,6.0,2.0,18.0,6.0,6.0,49.0,2.0,3.0,0.0,4.0,0.0
zealos.csv,0.0,2.0,0.0,101.0,1.0,1.0,5.0,1.0,0.0,3.0,5.0,49.0,50.0,62.0,1.0,1.0,0.0
