,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv
fceugc.csv,3.0,0.0,4.0,0.0,6.0,8.0,1.0,6.0,0.0,0.0
flexpay.csv,5.0,3.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,2.0
jstock.csv,5.0,0.0,17.0,2.0,0.0,0.0,1.0,0.0,4.0,62.0
keyczar.csv,2.0,0.0,6.0,4.0,13.0,0.0,0.0,4.0,1.0,0.0
modellus.csv,0.0,3.0,2.0,0.0,0.0,0.0,4.0,4.0,9.0,1.0
open-data-kit.csv,7.0,0.0,0.0,3.0,6.0,2.0,1.0,1.0,7.0,0.0
phet.csv,0.0,3.0,1.0,2.0,0.0,0.0,5.0,1.0,1.0,0.0
qtractor.csv,0.0,0.0,3.0,2.0,3.0,1.0,0.0,9.0,1.0,0.0
sumatrapdf.csv,5.0,3.0,2.0,0.0,0.0,0.0,4.0,5.0,1.0,0.0
synergyspace.csv,2.0,0.0,2.0,0.0,0.0,0.0,4.0,55.0,0.0,1.0
