,fritzing.csv,aubit4gl.csv,firebreath.csv,patterntesting.csv,mpgravity.csv,httpcontentparser.csv,bibedt.csv,roller.csv,cascading.csv,xfce.csv
aubit4gl.csv,0.0,2.0,1.0,4.0,0.0,26.0,50.0,0.0,149.0,2.0
bibedt.csv,0.0,1.0,1.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0
cascading.csv,2.0,0.0,1.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0
firebreath.csv,1.0,0.0,3.0,0.0,52.0,2.0,0.0,0.0,0.0,1.0
fritzing.csv,1.0,1.0,0.0,1.0,2.0,4.0,9.0,0.0,0.0,0.0
httpcontentparser.csv,0.0,101.0,5.0,1.0,5.0,3.0,7.0,2.0,0.0,0.0
mpgravity.csv,1.0,2.0,2.0,5.0,0.0,17.0,2.0,0.0,0.0,1.0
patterntesting.csv,1.0,2.0,3.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0
roller.csv,0.0,2.0,0.0,0.0,2.0,5.0,2.0,0.0,0.0,1.0
xfce.csv,4.0,1.0,3.0,8.0,52.0,5.0,9.0,1.0,0.0,0.0
