,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,jcl.csv,gmerlin.csv,wxstudio.csv
chipster.csv,1.0,0.0,0.0,4.0,1.0,0.0,29.0,0.0,16.0,0.0,7.0,9.0,2.0
fontforge.csv,0.0,3.0,1.0,2.0,0.0,3.0,52.0,0.0,5.0,0.0,16.0,0.0,2.0
gmerlin.csv,2.0,0.0,0.0,3.0,2.0,6.0,4.0,0.0,7.0,2.0,4.0,0.0,2.0
hatari.csv,1.0,6.0,0.0,1.0,1.0,6.0,16.0,8.0,5.0,0.0,22.0,8.0,0.0
jcl.csv,0.0,6.0,64.0,0.0,0.0,0.0,52.0,0.0,8.0,0.0,0.0,1.0,0.0
ltp.csv,0.0,0.0,0.0,1.0,0.0,5.0,22.0,3.0,1.0,0.0,0.0,9.0,3.0
net-snmp.csv,0.0,2.0,2.0,2.0,0.0,0.0,52.0,7.0,6.0,4.0,20.0,0.0,7.0
opde.csv,1.0,11.0,0.0,0.0,1.0,3.0,16.0,3.0,16.0,3.0,7.0,2.0,3.0
powerfolder-.csv,0.0,0.0,0.0,0.0,0.0,7.0,52.0,1.0,11.0,0.0,5.0,97.0,3.0
qlc.csv,0.0,9.0,0.0,0.0,471.0,2.0,52.0,0.0,0.0,78.0,9.0,1.0,0.0
tcl.csv,0.0,1.0,0.0,0.0,2.0,11.0,12.0,1.0,4.0,0.0,5.0,4.0,0.0
wxstudio.csv,4.0,6.0,1.0,0.0,1.0,10.0,13.0,9.0,13.0,0.0,13.0,5.0,0.0
