,jmoney.csv,array4j.csv,jsidplay2.csv,pustefix.csv,jmonkeyengine.csv,mediate.csv,matrex.csv,freedom-erp.csv,reaper3d.csv,jchassis.csv,mesa3d.csv,emono.csv
array4j.csv,60.0,0.0,0.0,1.0,0.0,2.0,5.0,9.0,0.0,67.0,322.0,0.0
emono.csv,11.0,0.0,2.0,4.0,0.0,2.0,2.0,1.0,18.0,67.0,2.0,0.0
freedom-erp.csv,2.0,0.0,1.0,84.0,6.0,0.0,0.0,0.0,107.0,67.0,2.0,0.0
jchassis.csv,60.0,78.0,78.0,84.0,67.0,0.0,147.0,166.0,107.0,0.0,322.0,121.0
jmoney.csv,0.0,2.0,1.0,5.0,6.0,0.0,0.0,0.0,14.0,67.0,1.0,0.0
jmonkeyengine.csv,3.0,5.0,1.0,1.0,0.0,1.0,0.0,4.0,7.0,67.0,2.0,0.0
jsidplay2.csv,6.0,0.0,0.0,0.0,3.0,0.0,13.0,1.0,19.0,67.0,2.0,0.0
matrex.csv,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,67.0,2.0,2.0
mediate.csv,4.0,14.0,2.0,5.0,0.0,0.0,2.0,1.0,18.0,7.0,322.0,0.0
mesa3d.csv,7.0,1.0,3.0,0.0,7.0,1.0,1.0,4.0,107.0,0.0,0.0,0.0
pustefix.csv,13.0,1.0,0.0,0.0,12.0,1.0,1.0,1.0,12.0,67.0,8.0,0.0
reaper3d.csv,60.0,5.0,3.0,84.0,0.0,2.0,2.0,1.0,0.0,10.0,1.0,0.0
