,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,avisynth2.csv,octet.csv,twostep.csv,geotools.csv,rcp-company-uibindings.csv,thedata.csv
adonthell.csv,0.0,1.0,1.0,2.0,0.0,0.0,7.0,1.0,1.0,22.0,1.0,21.0,1.0,31.0,10.0,10.0,2.0,0.0,2.0
autofac.csv,0.0,3.0,2.0,0.0,1.0,1.0,7.0,0.0,0.0,13.0,4.0,7.0,0.0,16.0,5.0,0.0,19.0,0.0,23.0
avisynth2.csv,81.0,2.0,0.0,0.0,107.0,106.0,57.0,106.0,0.0,99.0,51.0,0.0,0.0,0.0,57.0,70.0,1.0,0.0,65.0
azureus.csv,0.0,1.0,2.0,0.0,0.0,0.0,17.0,5.0,8.0,13.0,3.0,0.0,2.0,64.0,4.0,0.0,32.0,0.0,16.0
dsworkbench.csv,0.0,3.0,0.0,9.0,1.0,0.0,6.0,0.0,0.0,26.0,51.0,2.0,0.0,26.0,3.0,19.0,9.0,0.0,4.0
forester-atv.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,51.0,6.0,0.0,64.0,0.0,0.0,6.0,0.0,65.0
freelords.csv,0.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,7.0,4.0,2.0,16.0,0.0,25.0,3.0,12.0,19.0,0.0,3.0
gabel.csv,0.0,65.0,65.0,0.0,107.0,0.0,0.0,106.0,1.0,0.0,7.0,0.0,2.0,64.0,5.0,2.0,11.0,0.0,65.0
geotools.csv,0.0,0.0,1.0,6.0,0.0,1.0,1.0,1.0,2.0,99.0,1.0,4.0,0.0,14.0,1.0,2.0,0.0,0.0,22.0
google-collections.csv,0.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,20.0,9.0,20.0,0.0,35.0,5.0,0.0,35.0,0.0,10.0
jpaul.csv,0.0,2.0,0.0,0.0,107.0,106.0,0.0,0.0,5.0,7.0,51.0,5.0,5.0,64.0,6.0,2.0,15.0,1.0,11.0
mycila.csv,0.0,2.0,0.0,3.0,0.0,0.0,57.0,1.0,8.0,99.0,0.0,9.0,1.0,64.0,0.0,4.0,10.0,0.0,15.0
neodatis-odb.csv,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,19.0,6.0,10.0,1.0,64.0,12.0,0.0,24.0,0.0,1.0
octet.csv,0.0,3.0,0.0,0.0,0.0,1.0,6.0,0.0,6.0,7.0,1.0,6.0,1.0,64.0,0.0,0.0,15.0,0.0,14.0
pokenetonline.csv,0.0,1.0,0.0,1.0,0.0,1.0,6.0,2.0,0.0,15.0,0.0,10.0,0.0,7.0,0.0,1.0,5.0,0.0,65.0
rcp-company-uibindings.csv,0.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,12.0,17.0,9.0,16.0,0.0,30.0,5.0,0.0,33.0,0.0,6.0
scenemonitor.csv,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,12.0,6.0,19.0,2.0,5.0,10.0,6.0,23.0,0.0,65.0
thedata.csv,0.0,5.0,0.0,3.0,0.0,2.0,0.0,1.0,4.0,99.0,1.0,2.0,0.0,16.0,0.0,2.0,3.0,0.0,0.0
twostep.csv,0.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,11.0,5.0,5.0,0.0,64.0,3.0,0.0,26.0,0.0,19.0
