,awemud.csv,liferea.csv,go.csv,kwave.csv,dvd-create.csv,gbif-indexingtoolkit.csv,mpgravity.csv,clamav.csv,linux-ntfs.csv,libarchive.csv
awemud.csv,0.0,2.0,0.0,0.0,1.0,7.0,1.0,3.0,0.0,2.0
clamav.csv,1.0,3.0,0.0,2.0,0.0,1.0,52.0,0.0,0.0,0.0
dvd-create.csv,2.0,4.0,2.0,0.0,0.0,3.0,7.0,1.0,1.0,1.0
gbif-indexingtoolkit.csv,1.0,56.0,2.0,71.0,0.0,0.0,1.0,9.0,0.0,5.0
go.csv,0.0,3.0,0.0,1.0,0.0,2.0,8.0,2.0,1.0,2.0
kwave.csv,1.0,3.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0
libarchive.csv,1.0,0.0,0.0,6.0,0.0,5.0,0.0,4.0,0.0,0.0
liferea.csv,0.0,0.0,0.0,0.0,0.0,2.0,52.0,0.0,4.0,1.0
linux-ntfs.csv,2.0,3.0,0.0,0.0,0.0,4.0,24.0,0.0,0.0,8.0
mpgravity.csv,2.0,7.0,2.0,13.0,0.0,1.0,0.0,14.0,1.0,4.0
