,jmoney.csv,dxengine.csv,jsidplay2.csv,springside.csv,swtfox.csv,tmva.csv,freedom-erp.csv,reaper3d.csv,servicestack.csv,wsmt.csv,synecdoche.csv,javaprofiler.csv
dxengine.csv,0.0,0.0,1.0,5.0,0.0,1.0,4.0,3.0,62.0,0.0,0.0,0.0
freedom-erp.csv,0.0,77.0,0.0,144.0,104.0,225.0,0.0,107.0,0.0,64.0,71.0,110.0
javaprofiler.csv,12.0,4.0,3.0,0.0,0.0,1.0,2.0,46.0,1.0,1.0,2.0,0.0
jmoney.csv,0.0,0.0,0.0,8.0,5.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0
jsidplay2.csv,4.0,5.0,0.0,0.0,3.0,2.0,1.0,18.0,2.0,1.0,2.0,0.0
reaper3d.csv,11.0,77.0,3.0,0.0,0.0,225.0,166.0,0.0,62.0,1.0,71.0,0.0
servicestack.csv,20.0,5.0,1.0,26.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0
springside.csv,5.0,0.0,0.0,0.0,0.0,0.0,1.0,38.0,5.0,1.0,0.0,0.0
swtfox.csv,3.0,1.0,3.0,0.0,0.0,3.0,1.0,11.0,0.0,0.0,3.0,0.0
synecdoche.csv,3.0,5.0,1.0,5.0,0.0,0.0,0.0,22.0,0.0,2.0,0.0,0.0
tmva.csv,5.0,5.0,0.0,6.0,4.0,0.0,1.0,10.0,9.0,0.0,3.0,0.0
wsmt.csv,11.0,4.0,0.0,0.0,0.0,1.0,166.0,107.0,0.0,0.0,5.0,0.0
