,prelude.csv,trackit.csv,scite-ru.csv,gbif-indexingtoolkit.csv,co-ode-owl-plugins.csv,bl-toolkit.csv,gnukeda.csv,qlc.csv,yaprm.csv,aztec.csv,pamguard.csv,motu.csv,qdvdauthor.csv,oscarmcmaster.csv,tencompetence.csv,arm-webradio.csv
arm-webradio.csv,0.0,0.0,0.0,4.0,1.0,3.0,1.0,1.0,2.0,5.0,0.0,10.0,0.0,3.0,0.0,2.0
aztec.csv,0.0,1.0,2.0,4.0,12.0,0.0,1.0,0.0,2.0,9.0,0.0,6.0,2.0,1.0,0.0,0.0
bl-toolkit.csv,0.0,1.0,6.0,6.0,4.0,0.0,2.0,26.0,0.0,45.0,1.0,6.0,0.0,5.0,0.0,3.0
co-ode-owl-plugins.csv,52.0,0.0,0.0,6.0,2.0,0.0,1.0,4.0,0.0,2.0,0.0,10.0,0.0,3.0,0.0,2.0
gbif-indexingtoolkit.csv,0.0,1.0,6.0,0.0,9.0,0.0,2.0,6.0,0.0,37.0,1.0,15.0,0.0,10.0,0.0,3.0
gnukeda.csv,1.0,2.0,9.0,2.0,13.0,0.0,0.0,25.0,2.0,77.0,2.0,6.0,0.0,10.0,0.0,7.0
motu.csv,0.0,1.0,4.0,0.0,10.0,0.0,2.0,11.0,4.0,76.0,1.0,0.0,2.0,10.0,0.0,39.0
oscarmcmaster.csv,2.0,0.0,0.0,8.0,9.0,1.0,0.0,13.0,1.0,0.0,0.0,5.0,3.0,1.0,0.0,2.0
pamguard.csv,0.0,0.0,2.0,4.0,4.0,2.0,1.0,33.0,0.0,36.0,0.0,11.0,0.0,6.0,0.0,3.0
prelude.csv,2.0,0.0,4.0,1.0,13.0,0.0,1.0,2.0,1.0,40.0,1.0,11.0,0.0,6.0,0.0,1.0
qdvdauthor.csv,0.0,1.0,4.0,4.0,0.0,0.0,2.0,6.0,0.0,15.0,0.0,15.0,0.0,2.0,0.0,3.0
qlc.csv,0.0,0.0,0.0,4.0,5.0,0.0,0.0,2.0,5.0,1.0,1.0,3.0,1.0,0.0,0.0,131.0
scite-ru.csv,1.0,2.0,4.0,1.0,8.0,0.0,2.0,5.0,0.0,49.0,1.0,12.0,0.0,9.0,0.0,2.0
tencompetence.csv,2.0,0.0,0.0,1.0,7.0,0.0,2.0,22.0,0.0,77.0,0.0,2.0,1.0,4.0,0.0,0.0
trackit.csv,0.0,0.0,9.0,3.0,0.0,3.0,2.0,3.0,0.0,34.0,91.0,6.0,0.0,2.0,11.0,1.0
yaprm.csv,0.0,1.0,5.0,2.0,11.0,0.0,1.0,11.0,0.0,55.0,0.0,1.0,0.0,9.0,0.0,131.0
