,xbrlapi.csv,codeblocks.csv,fw4spl.csv,emulemorph.csv,ipfire-wall.csv,libmesh.csv,soar.csv,gnome-jabber.csv,ipfilter.csv,tencompetence.csv,fulguro.csv,rockbox.csv
codeblocks.csv,1.0,0.0,15.0,41.0,5.0,0.0,55.0,0.0,1.0,1.0,1.0,7.0
emulemorph.csv,0.0,0.0,369.0,0.0,54.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0
fulguro.csv,0.0,1.0,33.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,3.0,7.0
fw4spl.csv,0.0,0.0,3.0,109.0,10.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0
gnome-jabber.csv,0.0,0.0,13.0,0.0,12.0,4.0,0.0,1.0,4.0,0.0,12.0,6.0
ipfilter.csv,0.0,5.0,44.0,2.0,6.0,0.0,0.0,3.0,0.0,0.0,1.0,10.0
ipfire-wall.csv,0.0,0.0,15.0,109.0,1.0,1.0,2.0,0.0,1.0,0.0,5.0,4.0
libmesh.csv,0.0,0.0,27.0,2.0,7.0,0.0,0.0,96.0,64.0,0.0,2.0,13.0
rockbox.csv,4.0,0.0,13.0,11.0,5.0,1.0,2.0,0.0,0.0,6.0,9.0,1.0
soar.csv,0.0,5.0,70.0,3.0,8.0,0.0,0.0,3.0,0.0,0.0,2.0,15.0
tencompetence.csv,0.0,1.0,31.0,28.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,4.0
xbrlapi.csv,0.0,0.0,24.0,6.0,0.0,3.0,0.0,96.0,0.0,0.0,1.0,0.0
