,reactos-mirror.csv,critterding.csv,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,ogrehg.csv,genecys.csv,monetdb.csv,alpine.csv,boost.csv,quarkplayer.csv,gusanos.csv,projecteqemu.csv,modplug.csv,kftpgrabber.csv,enzo.csv,fmri-dmt.csv,passwordsafe.csv
alpine.csv,0.0,2.0,5.0,9.0,1.0,14.0,6.0,1.0,0.0,0.0,5.0,1.0,21.0,3.0,0.0,0.0,0.0,1.0,4.0,0.0
badtrinity-zero.csv,0.0,74.0,3.0,0.0,5.0,0.0,15.0,0.0,0.0,0.0,11.0,1.0,12.0,95.0,0.0,0.0,12.0,126.0,4.0,0.0
boost.csv,0.0,0.0,3.0,0.0,0.0,0.0,17.0,2.0,0.0,4.0,12.0,4.0,5.0,2.0,0.0,0.0,5.0,0.0,9.0,5.0
critterding.csv,0.0,5.0,0.0,0.0,0.0,5.0,25.0,2.0,0.0,20.0,32.0,1.0,10.0,0.0,0.0,0.0,19.0,0.0,6.0,5.0
enzo.csv,0.0,1.0,5.0,0.0,1.0,9.0,22.0,8.0,3.0,3.0,25.0,5.0,3.0,4.0,0.0,0.0,14.0,0.0,5.0,0.0
etics.csv,4.0,0.0,0.0,0.0,3.0,6.0,2.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,6.0,0.0,13.0,0.0
fmri-dmt.csv,0.0,2.0,0.0,0.0,0.0,14.0,25.0,1.0,0.0,3.0,11.0,1.0,11.0,3.0,0.0,0.0,24.0,0.0,2.0,0.0
genecys.csv,0.0,2.0,0.0,0.0,0.0,7.0,9.0,1.0,0.0,3.0,9.0,1.0,11.0,3.0,0.0,0.0,24.0,0.0,6.0,2.0
gusanos.csv,0.0,1.0,9.0,0.0,4.0,12.0,16.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,6.0,0.0,12.0,0.0
kftpgrabber.csv,0.0,0.0,1.0,1.0,0.0,3.0,4.0,2.0,0.0,6.0,4.0,3.0,9.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
kvs.csv,0.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,17.0,9.0,3.0,168.0,0.0,1.0,5.0,2.0,0.0,5.0,1.0
mcore3d.csv,1.0,0.0,1.0,1.0,0.0,1.0,15.0,1.0,2.0,0.0,23.0,0.0,2.0,1.0,2.0,0.0,6.0,0.0,15.0,4.0
modplug.csv,3.0,2.0,0.0,10.0,0.0,5.0,7.0,1.0,0.0,0.0,9.0,1.0,9.0,5.0,0.0,0.0,17.0,0.0,3.0,0.0
monetdb.csv,4.0,1.0,1.0,3.0,1.0,6.0,0.0,0.0,0.0,4.0,2.0,0.0,18.0,0.0,0.0,0.0,3.0,1.0,5.0,0.0
ogrehg.csv,0.0,0.0,5.0,0.0,0.0,3.0,10.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,5.0,0.0
passwordsafe.csv,4.0,4.0,0.0,0.0,2.0,6.0,8.0,1.0,0.0,6.0,10.0,1.0,5.0,4.0,0.0,0.0,16.0,1.0,17.0,0.0
projecteqemu.csv,0.0,2.0,8.0,1.0,2.0,8.0,3.0,1.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,5.0,2.0,0.0,2.0
quarkplayer.csv,0.0,2.0,0.0,0.0,1.0,2.0,17.0,9.0,0.0,17.0,22.0,4.0,7.0,0.0,1.0,0.0,17.0,2.0,4.0,4.0
reactos-mirror.csv,0.0,6.0,0.0,0.0,0.0,2.0,10.0,1.0,0.0,3.0,4.0,0.0,8.0,2.0,0.0,0.0,8.0,0.0,12.0,6.0
xbplayer.csv,0.0,0.0,1.0,0.0,0.0,5.0,4.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,0.0,0.0,1.0
