,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,exist.csv,st-filteredstatistics.csv,pokenetonline.csv,java-gnome.csv,avisynth2.csv,personalaccess.csv,octet.csv,servicestack.csv,gephex.csv,rcp-company-uibindings.csv
adonthell.csv,0.0,6.0,1.0,4.0,0.0,0.0,8.0,3.0,0.0,8.0,3.0,2.0,0.0,29.0,0.0,2.0,1.0,0.0,0.0
autofac.csv,0.0,3.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,64.0,0.0,7.0,0.0,0.0,0.0
avisynth2.csv,0.0,65.0,0.0,61.0,107.0,106.0,57.0,106.0,51.0,0.0,0.0,0.0,72.0,0.0,0.0,57.0,2.0,111.0,0.0
dsworkbench.csv,0.0,6.0,0.0,1.0,0.0,1.0,20.0,0.0,10.0,3.0,0.0,0.0,0.0,28.0,1.0,2.0,0.0,0.0,0.0
exist.csv,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,13.0,0.0,0.0,0.0
forester-atv.csv,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,6.0,0.0,1.0,2.0,64.0,0.0,57.0,2.0,3.0,0.0
freelords.csv,0.0,4.0,2.0,4.0,0.0,0.0,14.0,0.0,10.0,10.0,2.0,1.0,0.0,17.0,1.0,3.0,0.0,0.0,0.0
gephex.csv,0.0,0.0,2.0,3.0,0.0,0.0,6.0,1.0,8.0,5.0,1.0,0.0,0.0,64.0,1.0,9.0,0.0,0.0,0.0
google-collections.csv,0.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,35.0,1.0,5.0,0.0,0.0,0.0
java-gnome.csv,0.0,1.0,1.0,6.0,2.0,1.0,7.0,3.0,0.0,1.0,0.0,1.0,0.0,16.0,0.0,1.0,5.0,0.0,0.0
jpaul.csv,0.0,1.0,3.0,1.0,107.0,106.0,0.0,0.0,0.0,5.0,0.0,2.0,2.0,64.0,0.0,8.0,0.0,111.0,0.0
neodatis-odb.csv,0.0,3.0,0.0,0.0,3.0,1.0,9.0,0.0,0.0,6.0,0.0,4.0,0.0,64.0,2.0,3.0,0.0,0.0,0.0
octet.csv,0.0,3.0,2.0,0.0,0.0,1.0,7.0,0.0,0.0,4.0,1.0,1.0,0.0,64.0,0.0,0.0,0.0,1.0,0.0
personalaccess.csv,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,9.0,6.0,0.0,1.0,0.0,3.0,0.0,5.0,1.0,0.0,0.0
pokenetonline.csv,0.0,2.0,1.0,6.0,0.0,1.0,8.0,1.0,2.0,7.0,0.0,0.0,0.0,19.0,0.0,1.0,2.0,0.0,0.0
rcp-company-uibindings.csv,0.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,19.0,0.0,2.0,1.0,25.0,2.0,5.0,12.0,0.0,0.0
scenemonitor.csv,0.0,2.0,2.0,0.0,1.0,1.0,5.0,0.0,0.0,9.0,1.0,0.0,0.0,20.0,0.0,5.0,0.0,0.0,0.0
servicestack.csv,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,2.0,7.0,0.0,57.0,0.0,0.0,0.0
st-filteredstatistics.csv,0.0,3.0,3.0,0.0,1.0,1.0,22.0,0.0,1.0,8.0,0.0,0.0,0.0,12.0,0.0,0.0,2.0,2.0,0.0
