,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,fluidium.csv,pamguard.csv,customsagetv.csv
checker-framework.csv,1.0,5.0,1.0,3.0,0.0,11.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,1.0,6.0
customsagetv.csv,0.0,0.0,52.0,62.0,1.0,127.0,74.0,0.0,3.0,7.0,92.0,49.0,0.0,49.0,0.0,0.0
fluidium.csv,0.0,4.0,0.0,1.0,124.0,0.0,3.0,1.0,11.0,15.0,0.0,0.0,0.0,0.0,1.0,1.0
guineu.csv,0.0,1.0,0.0,12.0,4.0,4.0,0.0,0.0,10.0,4.0,0.0,0.0,3.0,0.0,2.0,0.0
inkscape.csv,6.0,0.0,1.0,1.0,6.0,0.0,0.0,2.0,6.0,21.0,0.0,1.0,2.0,1.0,0.0,11.0
mpqc.csv,0.0,0.0,1.0,62.0,12.0,0.0,4.0,1.0,3.0,13.0,1.0,49.0,0.0,0.0,1.0,0.0
nsis.csv,15.0,0.0,0.0,1.0,14.0,0.0,4.0,2.0,9.0,14.0,0.0,2.0,3.0,0.0,1.0,0.0
octave.csv,0.0,5.0,2.0,0.0,0.0,14.0,1.0,1.0,3.0,17.0,0.0,0.0,0.0,2.0,0.0,0.0
owfs.csv,0.0,0.0,0.0,0.0,5.0,10.0,1.0,1.0,7.0,8.0,0.0,0.0,0.0,49.0,1.0,1.0
owlib.csv,0.0,0.0,0.0,1.0,12.0,0.0,1.0,1.0,3.0,10.0,1.0,2.0,4.0,0.0,1.0,0.0
pamguard.csv,0.0,5.0,0.0,0.0,15.0,1.0,2.0,1.0,29.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0
prelude.csv,0.0,0.0,0.0,0.0,14.0,1.0,3.0,1.0,8.0,13.0,1.0,2.0,0.0,1.0,0.0,1.0
robocode.csv,0.0,0.0,0.0,19.0,2.0,3.0,0.0,0.0,5.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0
uwom-server.csv,0.0,0.0,0.0,0.0,15.0,16.0,2.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0
zengine.csv,0.0,8.0,0.0,1.0,6.0,2.0,1.0,0.0,5.0,10.0,0.0,0.0,11.0,5.0,0.0,0.0
zildo.csv,1.0,2.0,1.0,0.0,0.0,22.0,0.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0
