,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,fido.csv,megameknet.csv,geogebra.csv,duplicati.csv
botsnscouts.csv,5.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,54.0,2.0,11.0,0.0,0.0,0.0
dspace-gsoc.csv,2.0,2.0,0.0,1.0,2.0,0.0,5.0,1.0,33.0,1.0,0.0,1.0,93.0,16.0,21.0,0.0,4.0,1.0
fbmanager.csv,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,16.0,3.0,12.0,0.0,395.0,0.0
fido.csv,140.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,350.0,1.0,54.0,63.0,23.0,0.0,2.0,306.0,1.0,0.0
freenet.csv,3.0,2.0,1.0,0.0,1.0,0.0,5.0,5.0,35.0,0.0,1.0,8.0,91.0,2.0,19.0,4.0,7.0,0.0
geogebra.csv,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.0,3.0,15.0,0.0,3.0,0.0
google-caja.csv,0.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,47.0,3.0,2.0,0.0,78.0,1.0,18.0,17.0,2.0,0.0
itext.csv,2.0,2.0,4.0,0.0,1.0,0.0,8.0,1.0,36.0,0.0,0.0,0.0,83.0,2.0,18.0,5.0,7.0,0.0
k3b.csv,0.0,0.0,2.0,0.0,1.0,0.0,6.0,2.0,6.0,0.0,0.0,1.0,20.0,0.0,7.0,1.0,30.0,0.0
megameknet.csv,6.0,0.0,0.0,1.0,0.0,0.0,4.0,7.0,18.0,0.0,3.0,4.0,47.0,5.0,30.0,0.0,13.0,0.0
myfaces.csv,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,66.0,2.0,28.0,1.0,5.0,0.0
onotoa.csv,3.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0,37.0,0.0,1.0,9.0,93.0,2.0,18.0,4.0,2.0,0.0
paintown.csv,0.0,2.0,1.0,0.0,2.0,0.0,6.0,1.0,37.0,0.0,0.0,4.0,80.0,2.0,20.0,5.0,9.0,0.0
powerfolder.csv,2.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,43.0,0.0,0.0,0.0,3.0,19.0,40.0,5.0,0.0,0.0
smartgwt.csv,2.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,26.0,0.0,0.0,4.0,11.0,0.0,6.0,2.0,1.0,1.0
sqlpower-library.csv,3.0,2.0,1.0,0.0,2.0,0.0,6.0,3.0,37.0,0.0,1.0,10.0,80.0,2.0,20.0,5.0,9.0,0.0
triplea.csv,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,22.0,0.0,0.0,1.0,43.0,2.0,64.0,12.0,9.0,0.0
