,fritzing.csv,aubit4gl.csv,firebreath.csv,patterntesting.csv,mpgravity.csv,httpcontentparser.csv,bibedt.csv,roller.csv,cascading.csv,xfce.csv
aubit4gl.csv,1.0,0.0,0.0,12.0,0.0,9.0,3.0,0.0,0.0,0.0
bibedt.csv,1.0,2.0,10.0,1.0,0.0,19.0,0.0,2.0,0.0,0.0
cascading.csv,0.0,0.0,2.0,1.0,3.0,12.0,0.0,2.0,0.0,1.0
firebreath.csv,1.0,2.0,0.0,6.0,0.0,7.0,0.0,0.0,0.0,1.0
fritzing.csv,0.0,0.0,2.0,1.0,0.0,15.0,50.0,0.0,0.0,5.0
httpcontentparser.csv,6.0,3.0,0.0,76.0,1.0,0.0,2.0,0.0,0.0,0.0
mpgravity.csv,1.0,1.0,1.0,2.0,0.0,5.0,2.0,0.0,0.0,0.0
patterntesting.csv,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
roller.csv,2.0,1.0,6.0,0.0,1.0,13.0,2.0,0.0,0.0,1.0
xfce.csv,1.0,3.0,6.0,8.0,6.0,9.0,0.0,0.0,0.0,0.0
