,agilitybook.csv,apolloplayer.csv,opde.csv,ildjit.csv,jfreereport.csv,ifmo-game-1.csv,ppcboot.csv,openfrag.csv,super-tux.csv,auber.csv,synergyspace.csv,quark.csv,keyczar.csv,passwordsafe.csv,xtreemfs.csv,moast.csv,cortex-vfx.csv,growl-for-windows.csv,wikipediardware.csv
agilitybook.csv,0.0,10.0,0.0,8.0,2.0,34.0,0.0,2.0,0.0,6.0,1.0,16.0,3.0,2.0,2.0,6.0,6.0,0.0,0.0
apolloplayer.csv,7.0,0.0,0.0,9.0,0.0,36.0,0.0,1.0,0.0,1.0,1.0,14.0,0.0,2.0,3.0,15.0,24.0,0.0,0.0
auber.csv,16.0,0.0,0.0,5.0,7.0,2.0,0.0,0.0,0.0,0.0,1.0,64.0,0.0,0.0,1.0,257.0,19.0,1.0,1.0
cortex-vfx.csv,2.0,4.0,2.0,15.0,0.0,12.0,0.0,0.0,0.0,0.0,3.0,20.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
growl-for-windows.csv,5.0,8.0,0.0,6.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,9.0,4.0,3.0,2.0,1.0,3.0,0.0,0.0
ifmo-game-1.csv,282.0,102.0,69.0,125.0,59.0,0.0,0.0,0.0,0.0,1.0,125.0,64.0,1.0,0.0,2.0,0.0,11.0,0.0,51.0
ildjit.csv,5.0,0.0,0.0,0.0,74.0,83.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,6.0,1.0,0.0,9.0,0.0,4.0
jfreereport.csv,9.0,0.0,0.0,10.0,0.0,5.0,0.0,2.0,0.0,1.0,1.0,64.0,2.0,0.0,6.0,2.0,12.0,0.0,0.0
keyczar.csv,7.0,5.0,7.0,0.0,2.0,83.0,0.0,3.0,0.0,7.0,5.0,10.0,0.0,7.0,0.0,257.0,0.0,3.0,0.0
moast.csv,282.0,1.0,69.0,125.0,4.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,158.0,0.0,0.0,3.0,53.0,0.0
opde.csv,7.0,15.0,0.0,5.0,2.0,2.0,0.0,3.0,0.0,0.0,1.0,16.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0
openfrag.csv,2.0,3.0,0.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,1.0,30.0,0.0,0.0
passwordsafe.csv,8.0,0.0,5.0,12.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,2.0,0.0,7.0,0.0,1.0
ppcboot.csv,8.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,1.0,10.0,1.0,1.0
quark.csv,0.0,1.0,69.0,125.0,13.0,83.0,236.0,0.0,0.0,0.0,125.0,0.0,62.0,0.0,0.0,0.0,1.0,0.0,51.0
super-tux.csv,9.0,0.0,0.0,11.0,0.0,5.0,0.0,3.0,0.0,1.0,3.0,10.0,3.0,0.0,5.0,1.0,12.0,0.0,0.0
synergyspace.csv,2.0,0.0,1.0,6.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,64.0,0.0,2.0,1.0,1.0,10.0,2.0,1.0
wikipediardware.csv,14.0,0.0,1.0,6.0,2.0,17.0,0.0,3.0,0.0,1.0,0.0,12.0,1.0,0.0,1.0,0.0,7.0,5.0,0.0
xtreemfs.csv,2.0,0.0,0.0,10.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0
