,xharbour.csv,jgameai.csv,megasquirtavr.csv,emisview.csv,bullet.csv,mptvseries.csv,tktoolkit.csv,bulmages.csv,cubefs.csv,java-gnome.csv,bwapi.csv,mp-rechnungs-und-kundenverwaltung.csv,bionote.csv,adobe-source.csv,somap.csv,duplicati.csv,buddata-ebxml-registry.csv,oorexx.csv
adobe-source.csv,0.0,1.0,18.0,3.0,1.0,0.0,2.0,13.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,1.0
bionote.csv,0.0,88.0,92.0,3.0,2.0,3.0,14.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,1.0
buddata-ebxml-registry.csv,0.0,0.0,20.0,10.0,2.0,6.0,3.0,4.0,0.0,1.0,1.0,0.0,9.0,15.0,0.0,0.0,0.0,0.0
bullet.csv,0.0,0.0,2.0,20.0,1.0,2.0,1.0,25.0,0.0,0.0,1.0,0.0,22.0,10.0,0.0,0.0,0.0,0.0
bulmages.csv,105.0,88.0,18.0,75.0,0.0,3.0,177.0,0.0,0.0,0.0,0.0,7.0,59.0,12.0,0.0,0.0,1.0,2.0
bwapi.csv,0.0,0.0,14.0,1.0,2.0,6.0,3.0,0.0,0.0,0.0,1.0,0.0,16.0,14.0,0.0,0.0,0.0,1.0
cubefs.csv,0.0,0.0,0.0,9.0,0.0,5.0,3.0,12.0,0.0,0.0,1.0,7.0,22.0,8.0,0.0,0.0,0.0,1.0
emisview.csv,105.0,1.0,1.0,6.0,0.0,4.0,177.0,100.0,2.0,72.0,0.0,1.0,5.0,161.0,0.0,0.0,0.0,0.0
java-gnome.csv,0.0,1.0,0.0,10.0,2.0,7.0,3.0,11.0,0.0,0.0,1.0,2.0,10.0,5.0,0.0,0.0,0.0,1.0
jgameai.csv,0.0,1.0,3.0,4.0,2.0,7.0,3.0,3.0,0.0,0.0,0.0,4.0,7.0,9.0,1.0,0.0,0.0,1.0
megasquirtavr.csv,0.0,0.0,2.0,10.0,2.0,6.0,3.0,0.0,0.0,0.0,1.0,0.0,14.0,16.0,0.0,0.0,0.0,0.0
mp-rechnungs-und-kundenverwaltung.csv,0.0,3.0,2.0,1.0,4.0,49.0,9.0,4.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0
mptvseries.csv,0.0,4.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,8.0,6.0,4.0,0.0,0.0,0.0,0.0
oorexx.csv,0.0,2.0,15.0,7.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,10.0,6.0,3.0,0.0,0.0,0.0,0.0
somap.csv,0.0,0.0,18.0,6.0,2.0,11.0,3.0,0.0,0.0,0.0,1.0,9.0,20.0,14.0,0.0,0.0,0.0,1.0
tktoolkit.csv,0.0,7.0,7.0,14.0,0.0,2.0,0.0,22.0,0.0,0.0,3.0,1.0,14.0,5.0,0.0,0.0,0.0,2.0
xharbour.csv,0.0,0.0,12.0,16.0,0.0,1.0,13.0,0.0,0.0,0.0,1.0,1.0,10.0,15.0,0.0,0.0,0.0,2.0
