,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv,fluent-nhibernate.csv,uface.csv,cme.csv
boost-sandbox.csv,2.0,20.0,9.0,26.0,11.0,0.0,0.0,1.0,3.0,0.0,62.0,1.0,30.0,4.0,56.0
bscwweasel.csv,0.0,142.0,1.0,0.0,4.0,1.0,1.0,5.0,0.0,1.0,62.0,70.0,1.0,0.0,56.0
capcode.csv,0.0,7.0,2.0,19.0,65.0,0.0,0.0,2.0,1.0,2.0,62.0,2.0,183.0,6.0,56.0
cme.csv,199.0,142.0,190.0,161.0,65.0,82.0,147.0,204.0,85.0,104.0,62.0,70.0,183.0,161.0,0.0
emite.csv,1.0,51.0,3.0,19.0,5.0,11.0,1.0,5.0,2.0,2.0,13.0,0.0,37.0,0.0,56.0
fluent-nhibernate.csv,199.0,2.0,0.0,0.0,6.0,82.0,0.0,6.0,12.0,0.0,4.0,2.0,0.0,11.0,56.0
lamp.csv,1.0,0.0,13.0,1.0,4.0,5.0,0.0,1.0,0.0,4.0,8.0,0.0,0.0,0.0,56.0
mecat.csv,199.0,142.0,190.0,161.0,65.0,6.0,147.0,204.0,0.0,1.0,0.0,70.0,183.0,161.0,56.0
nodal.csv,0.0,13.0,0.0,7.0,3.0,7.0,0.0,4.0,0.0,8.0,5.0,3.0,13.0,0.0,2.0
pydev.csv,0.0,3.0,9.0,30.0,5.0,13.0,3.0,5.0,5.0,0.0,14.0,1.0,25.0,0.0,14.0
retromenu.csv,0.0,0.0,4.0,1.0,0.0,4.0,0.0,0.0,4.0,2.0,1.0,0.0,2.0,0.0,2.0
smbopensoft.csv,0.0,31.0,0.0,16.0,2.0,10.0,0.0,6.0,0.0,1.0,14.0,2.0,36.0,7.0,16.0
stuproa-cims.csv,1.0,37.0,2.0,13.0,8.0,9.0,1.0,0.0,2.0,2.0,15.0,3.0,32.0,0.0,12.0
thout.csv,0.0,13.0,0.0,48.0,10.0,0.0,2.0,6.0,1.0,2.0,25.0,3.0,23.0,0.0,9.0
uface.csv,1.0,12.0,10.0,9.0,7.0,16.0,2.0,6.0,1.0,1.0,17.0,2.0,33.0,0.0,16.0
