,xharbour.csv,jgameai.csv,megasquirtavr.csv,emisview.csv,bullet.csv,mptvseries.csv,tktoolkit.csv,bulmages.csv,cubefs.csv,java-gnome.csv,bwapi.csv,mp-rechnungs-und-kundenverwaltung.csv,bionote.csv,adobe-source.csv,somap.csv,duplicati.csv,buddata-ebxml-registry.csv,oorexx.csv
adobe-source.csv,0.0,0.0,5.0,4.0,0.0,0.0,17.0,9.0,0.0,2.0,0.0,148.0,4.0,0.0,0.0,0.0,0.0,0.0
bionote.csv,0.0,1.0,3.0,1.0,2.0,0.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
buddata-ebxml-registry.csv,0.0,0.0,18.0,10.0,2.0,6.0,3.0,4.0,0.0,0.0,1.0,0.0,16.0,16.0,0.0,0.0,0.0,1.0
bullet.csv,0.0,2.0,7.0,4.0,0.0,7.0,2.0,10.0,0.0,1.0,1.0,1.0,6.0,9.0,2.0,0.0,0.0,0.0
bulmages.csv,0.0,2.0,6.0,2.0,0.0,0.0,177.0,0.0,0.0,0.0,0.0,0.0,59.0,29.0,0.0,0.0,0.0,0.0
bwapi.csv,0.0,0.0,12.0,4.0,2.0,6.0,3.0,2.0,0.0,0.0,0.0,1.0,12.0,14.0,0.0,0.0,0.0,1.0
cubefs.csv,0.0,0.0,0.0,8.0,2.0,4.0,177.0,17.0,0.0,0.0,1.0,1.0,18.0,10.0,0.0,0.0,0.0,0.0
emisview.csv,0.0,2.0,92.0,0.0,0.0,2.0,177.0,4.0,0.0,0.0,0.0,4.0,9.0,2.0,0.0,0.0,0.0,0.0
java-gnome.csv,0.0,3.0,6.0,4.0,0.0,4.0,3.0,0.0,0.0,0.0,3.0,3.0,14.0,7.0,1.0,0.0,1.0,0.0
jgameai.csv,0.0,0.0,3.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,2.0,10.0,59.0,7.0,0.0,0.0,1.0,0.0
megasquirtavr.csv,0.0,2.0,0.0,10.0,2.0,6.0,3.0,0.0,0.0,0.0,1.0,2.0,13.0,16.0,0.0,0.0,0.0,1.0
mp-rechnungs-und-kundenverwaltung.csv,0.0,5.0,16.0,0.0,2.0,8.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,4.0
mptvseries.csv,0.0,8.0,0.0,1.0,0.0,0.0,8.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0
oorexx.csv,1.0,0.0,8.0,14.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,9.0,14.0,3.0,0.0,0.0,0.0,0.0
somap.csv,0.0,0.0,18.0,10.0,2.0,6.0,3.0,0.0,0.0,0.0,1.0,0.0,16.0,16.0,0.0,0.0,0.0,1.0
tktoolkit.csv,105.0,0.0,7.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,16.0,17.0,5.0,0.0,0.0,0.0,3.0
xharbour.csv,0.0,1.0,1.0,9.0,0.0,3.0,10.0,8.0,0.0,0.0,0.0,0.0,12.0,8.0,0.0,0.0,0.0,1.0
