,rhex.csv,qgo.csv,flylegacy.csv,firebird.csv,mcore3d.csv,yield.csv,gzigzag.csv,webdriver.csv,hydrogen.csv,qtractor.csv,ogrehg.csv,dspace-gsoc.csv,nabu-library.csv,xined.csv,rocrail.csv
dspace-gsoc.csv,10.0,0.0,1.0,3.0,0.0,3.0,1.0,0.0,10.0,1.0,1.0,0.0,43.0,1.0,4.0
firebird.csv,13.0,6.0,0.0,0.0,0.0,0.0,24.0,9.0,13.0,1.0,0.0,0.0,31.0,0.0,16.0
flylegacy.csv,23.0,8.0,0.0,0.0,2.0,0.0,1.0,0.0,27.0,2.0,1.0,1.0,2.0,0.0,31.0
gzigzag.csv,2.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
hydrogen.csv,9.0,11.0,0.0,0.0,0.0,7.0,21.0,0.0,0.0,3.0,1.0,1.0,2.0,11.0,21.0
mcore3d.csv,16.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,6.0
nabu-library.csv,3.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0
ogrehg.csv,8.0,6.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,32.0,0.0,3.0
qgo.csv,20.0,0.0,2.0,0.0,1.0,0.0,19.0,1.0,8.0,4.0,1.0,3.0,0.0,10.0,2.0
qtractor.csv,1.0,5.0,0.0,1.0,1.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,11.0
rhex.csv,3.0,1.0,0.0,0.0,2.0,2.0,0.0,3.0,5.0,1.0,3.0,0.0,0.0,6.0,3.0
rocrail.csv,6.0,1.0,1.0,2.0,0.0,0.0,3.0,8.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0
webdriver.csv,7.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,13.0,0.0,0.0,0.0,32.0,0.0,9.0
xined.csv,92.0,64.0,84.0,329.0,177.0,130.0,121.0,98.0,115.0,51.0,345.0,54.0,191.0,0.0,101.0
yield.csv,13.0,0.0,0.0,0.0,3.0,0.0,29.0,0.0,14.0,0.0,0.0,0.0,32.0,0.0,13.0
