,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,factor.csv
factor.csv,1.0,0.0,8.0,2.0,0.0,2.0,0.0,55.0,8.0,62.0,0.0
fceugc.csv,5.0,3.0,4.0,1.0,7.0,4.0,4.0,5.0,1.0,2.0,0.0
flexpay.csv,10.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,5.0,2.0,5.0
jstock.csv,3.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,8.0,1.0,0.0
keyczar.csv,5.0,6.0,13.0,3.0,11.0,0.0,1.0,16.0,0.0,0.0,0.0
modellus.csv,5.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
open-data-kit.csv,4.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,24.0,0.0,0.0
phet.csv,3.0,3.0,3.0,0.0,3.0,2.0,5.0,4.0,1.0,3.0,0.0
qtractor.csv,11.0,0.0,4.0,3.0,0.0,2.0,0.0,4.0,4.0,0.0,0.0
sumatrapdf.csv,4.0,0.0,1.0,2.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0
synergyspace.csv,6.0,2.0,1.0,4.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0
