,opentibia.csv,retromenu.csv,inkscape.csv,uwom-server.csv,projectts.csv,jhotdraw.csv,encog-cs.csv,jam-daq.csv,cubefs.csv,roolo.csv,ofbiz.csv,ibatisdb.csv,ninject.csv,trinitycore.csv,tango-cs.csv,oorexx.csv,geochat.csv,uface.csv
cubefs.csv,0.0,4.0,0.0,8.0,1.0,4.0,1.0,3.0,0.0,0.0,1.0,12.0,13.0,10.0,6.0,0.0,8.0,6.0
encog-cs.csv,0.0,9.0,4.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,17.0,33.0,12.0,0.0,0.0,22.0,0.0
geochat.csv,1.0,13.0,1.0,10.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,17.0,24.0,10.0,0.0,0.0,0.0,0.0
ibatisdb.csv,0.0,5.0,0.0,5.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,8.0,2.0,2.0,0.0,9.0,0.0
inkscape.csv,0.0,65.0,0.0,1.0,0.0,8.0,1.0,98.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0
jam-daq.csv,0.0,4.0,1.0,2.0,0.0,4.0,12.0,0.0,0.0,0.0,5.0,7.0,5.0,2.0,0.0,3.0,6.0,4.0
jhotdraw.csv,0.0,3.0,0.0,4.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,7.0,10.0,4.0,0.0,0.0,6.0,6.0
ninject.csv,0.0,5.0,74.0,10.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,60.0,10.0,0.0
ofbiz.csv,0.0,10.0,0.0,4.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,4.0,8.0,0.0,0.0,5.0
oorexx.csv,0.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,11.0,4.0,0.0,0.0,17.0,7.0
opentibia.csv,0.0,11.0,4.0,7.0,1.0,0.0,12.0,0.0,0.0,0.0,9.0,18.0,7.0,6.0,0.0,1.0,10.0,5.0
projectts.csv,0.0,6.0,2.0,7.0,0.0,8.0,5.0,1.0,0.0,0.0,3.0,3.0,12.0,9.0,0.0,2.0,14.0,0.0
retromenu.csv,0.0,0.0,74.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,60.0,7.0,2.0
roolo.csv,1.0,7.0,2.0,6.0,0.0,2.0,7.0,0.0,0.0,0.0,2.0,20.0,22.0,5.0,0.0,0.0,7.0,0.0
tango-cs.csv,0.0,5.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,16.0,19.0,4.0,0.0,0.0,17.0,0.0
trinitycore.csv,0.0,9.0,1.0,0.0,1.0,5.0,21.0,1.0,0.0,0.0,2.0,37.0,31.0,0.0,0.0,1.0,2.0,16.0
uface.csv,0.0,11.0,4.0,14.0,1.0,2.0,6.0,1.0,0.0,0.0,3.0,4.0,22.0,14.0,0.0,1.0,16.0,0.0
uwom-server.csv,0.0,8.0,1.0,0.0,2.0,0.0,19.0,1.0,0.0,0.0,2.0,15.0,35.0,0.0,0.0,0.0,11.0,0.0
