,x4x.csv,xharbour.csv,rectracker.csv,barracudamvc.csv,megasquirtavr.csv,openintents.csv,atomsite.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,wxlua.csv,ontopia.csv,lite.csv,findbugs.csv,stajistics.csv,jfreechart.csv
alembik.csv,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,103.0
arsenal-1.csv,0.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,2.0,5.0,103.0
atomsite.csv,0.0,105.0,0.0,0.0,5.0,1.0,0.0,2.0,4.0,4.0,1.0,3.0,0.0,0.0,5.0,0.0,6.0,103.0
barracudamvc.csv,0.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,4.0,8.0,2.0,5.0,2.0,0.0,8.0,0.0,10.0,79.0
emisview.csv,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,1.0,0.0,5.0,0.0,7.0,103.0
findbugs.csv,0.0,0.0,0.0,0.0,16.0,1.0,6.0,2.0,6.0,5.0,2.0,3.0,2.0,0.0,5.0,0.0,4.0,103.0
jitterbit.csv,0.0,0.0,0.0,0.0,17.0,0.0,6.0,2.0,5.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,103.0
lite.csv,0.0,0.0,0.0,0.0,1.0,2.0,67.0,0.0,4.0,75.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0
megasquirtavr.csv,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,10.0,2.0,5.0,0.0,0.0,8.0,0.0,10.0,91.0
ontopia.csv,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,3.0,1.0,41.0,0.0,0.0,11.0,0.0,7.0,85.0
openintents.csv,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,2.0,1.0,1.0,1.0,0.0,3.0,0.0,6.0,103.0
rectracker.csv,0.0,0.0,0.0,0.0,18.0,0.0,4.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0,3.0,0.0,7.0,32.0
stajistics.csv,0.0,0.0,0.0,0.0,13.0,3.0,10.0,2.0,1.0,0.0,2.0,4.0,0.0,1.0,2.0,3.0,0.0,103.0
trackit.csv,0.0,0.0,0.0,0.0,2.0,5.0,11.0,3.0,1.0,3.0,0.0,0.0,2.0,1.0,4.0,1.0,10.0,103.0
wxlua.csv,0.0,0.0,0.0,0.0,13.0,1.0,0.0,1.0,6.0,9.0,2.0,5.0,0.0,0.0,7.0,0.0,11.0,77.0
x4x.csv,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,3.0,8.0,2.0,5.0,0.0,0.0,5.0,0.0,6.0,77.0
xharbour.csv,0.0,0.0,0.0,0.0,6.0,1.0,0.0,2.0,4.0,10.0,1.0,5.0,0.0,0.0,8.0,0.0,11.0,87.0
