,reactos-mirror.csv,critterding.csv,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,ogrehg.csv,genecys.csv,monetdb.csv,alpine.csv,boost.csv,quarkplayer.csv,gusanos.csv,projecteqemu.csv,modplug.csv,kftpgrabber.csv,enzo.csv,fmri-dmt.csv,passwordsafe.csv
alpine.csv,5.0,0.0,2.0,0.0,0.0,0.0,95.0,2.0,0.0,0.0,0.0,1.0,168.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0
badtrinity-zero.csv,4.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,1.0,0.0,6.0,1.0,2.0,0.0,3.0,0.0,5.0,1.0
boost.csv,0.0,9.0,4.0,0.0,1.0,11.0,9.0,2.0,0.0,0.0,5.0,0.0,9.0,1.0,0.0,0.0,4.0,0.0,14.0,1.0
critterding.csv,0.0,0.0,0.0,0.0,0.0,10.0,25.0,1.0,0.0,11.0,10.0,1.0,6.0,4.0,0.0,0.0,20.0,0.0,5.0,0.0
enzo.csv,0.0,2.0,11.0,3.0,1.0,0.0,3.0,1.0,1.0,2.0,40.0,20.0,51.0,2.0,0.0,0.0,5.0,0.0,4.0,2.0
etics.csv,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,6.0,1.0
fmri-dmt.csv,3.0,0.0,0.0,1.0,0.0,2.0,95.0,0.0,1.0,145.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
genecys.csv,0.0,1.0,0.0,0.0,1.0,7.0,14.0,1.0,0.0,4.0,6.0,1.0,11.0,3.0,0.0,0.0,24.0,2.0,6.0,4.0
gusanos.csv,2.0,2.0,9.0,0.0,0.0,2.0,20.0,2.0,1.0,0.0,11.0,12.0,37.0,0.0,0.0,1.0,5.0,0.0,10.0,0.0
kftpgrabber.csv,1.0,1.0,4.0,1.0,0.0,8.0,0.0,3.0,0.0,1.0,0.0,0.0,11.0,1.0,1.0,1.0,0.0,0.0,10.0,4.0
kvs.csv,0.0,1.0,5.0,4.0,0.0,7.0,0.0,0.0,0.0,1.0,27.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,7.0,3.0
mcore3d.csv,0.0,1.0,6.0,0.0,0.0,2.0,6.0,1.0,1.0,6.0,34.0,5.0,0.0,2.0,1.0,4.0,8.0,1.0,2.0,6.0
modplug.csv,3.0,1.0,0.0,0.0,0.0,11.0,9.0,1.0,0.0,3.0,17.0,1.0,9.0,2.0,0.0,0.0,14.0,0.0,4.0,2.0
monetdb.csv,0.0,2.0,0.0,0.0,2.0,13.0,2.0,0.0,1.0,0.0,19.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0,12.0,0.0
ogrehg.csv,3.0,2.0,4.0,0.0,2.0,8.0,14.0,0.0,3.0,3.0,8.0,0.0,2.0,1.0,0.0,0.0,15.0,0.0,3.0,0.0
passwordsafe.csv,0.0,1.0,14.0,3.0,0.0,14.0,2.0,0.0,1.0,1.0,10.0,1.0,8.0,2.0,0.0,0.0,8.0,0.0,5.0,0.0
projecteqemu.csv,0.0,0.0,0.0,2.0,2.0,5.0,4.0,0.0,0.0,6.0,22.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,9.0,1.0
quarkplayer.csv,0.0,2.0,0.0,0.0,0.0,9.0,19.0,2.0,0.0,2.0,3.0,4.0,0.0,3.0,0.0,0.0,14.0,0.0,6.0,3.0
reactos-mirror.csv,0.0,7.0,9.0,0.0,0.0,9.0,11.0,1.0,0.0,0.0,2.0,1.0,11.0,2.0,0.0,0.0,18.0,2.0,3.0,2.0
xbplayer.csv,1.0,1.0,4.0,2.0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,2.0,14.0,1.0,0.0,1.0,4.0,1.0,4.0,2.0
