,pokeglobal.csv,robocode.csv,gogoego.csv,uwom-server.csv,algebsql.csv,jhotdraw.csv,autoopencas.csv,springside.csv,jam-daq.csv,trinitycore.csv
algebsql.csv,0.0,4.0,13.0,10.0,0.0,0.0,10.0,4.0,5.0,10.0
autoopencas.csv,3.0,1.0,5.0,13.0,9.0,0.0,0.0,9.0,0.0,15.0
gogoego.csv,2.0,1.0,0.0,7.0,67.0,0.0,26.0,3.0,0.0,9.0
jam-daq.csv,0.0,0.0,8.0,1.0,2.0,5.0,15.0,4.0,0.0,1.0
jhotdraw.csv,3.0,1.0,10.0,12.0,4.0,0.0,3.0,1.0,0.0,4.0
pokeglobal.csv,0.0,0.0,7.0,24.0,4.0,0.0,5.0,14.0,5.0,22.0
robocode.csv,0.0,0.0,1.0,2.0,3.0,0.0,2.0,10.0,3.0,3.0
springside.csv,4.0,3.0,5.0,9.0,2.0,5.0,0.0,0.0,4.0,9.0
trinitycore.csv,4.0,1.0,1.0,0.0,3.0,8.0,11.0,4.0,0.0,0.0
uwom-server.csv,4.0,1.0,3.0,0.0,1.0,16.0,7.0,10.0,0.0,0.0
