,maidsafe-dht.csv,atlc.csv,theresa.csv,playerstage.csv,knowledge.csv,gnukeda.csv,enlightenment.csv,boost-sandbox.csv,yaprm.csv,kowari.csv,fceugc.csv,proftp.csv,jaolt.csv,tcvp.csv,dspace-gsoc.csv,lufa-lib.csv,xapian.csv,pixel-commandos.csv,uwom.csv
atlc.csv,7.0,1.0,33.0,1.0,0.0,1.0,1.0,1.0,0.0,8.0,3.0,2.0,0.0,23.0,0.0,11.0,3.0,6.0,18.0
boost-sandbox.csv,14.0,1.0,30.0,0.0,0.0,0.0,1.0,2.0,1.0,5.0,0.0,2.0,0.0,19.0,4.0,5.0,0.0,64.0,35.0
dspace-gsoc.csv,1.0,0.0,18.0,0.0,0.0,1.0,1.0,0.0,3.0,9.0,3.0,0.0,0.0,8.0,0.0,9.0,1.0,37.0,1.0
enlightenment.csv,7.0,0.0,49.0,1.0,0.0,2.0,0.0,2.0,0.0,8.0,0.0,2.0,1.0,14.0,1.0,11.0,1.0,34.0,39.0
fceugc.csv,7.0,0.0,27.0,2.0,0.0,1.0,1.0,1.0,0.0,33.0,0.0,3.0,0.0,21.0,0.0,6.0,10.0,2.0,13.0
gnukeda.csv,10.0,1.0,25.0,1.0,0.0,0.0,0.0,1.0,2.0,12.0,0.0,1.0,1.0,16.0,0.0,10.0,0.0,24.0,16.0
jaolt.csv,1.0,0.0,14.0,4.0,0.0,0.0,3.0,0.0,0.0,12.0,0.0,2.0,0.0,4.0,1.0,1.0,0.0,6.0,4.0
knowledge.csv,5.0,0.0,30.0,1.0,0.0,0.0,0.0,2.0,6.0,8.0,5.0,3.0,1.0,17.0,1.0,8.0,2.0,19.0,22.0
kowari.csv,1.0,0.0,21.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,9.0,0.0,13.0,1.0,8.0,0.0,19.0,41.0
lufa-lib.csv,16.0,1.0,42.0,2.0,0.0,2.0,1.0,1.0,3.0,13.0,5.0,1.0,0.0,8.0,0.0,6.0,1.0,50.0,27.0
maidsafe-dht.csv,0.0,0.0,13.0,1.0,0.0,1.0,0.0,0.0,1.0,19.0,2.0,1.0,0.0,16.0,1.0,6.0,1.0,2.0,7.0
pixel-commandos.csv,7.0,0.0,52.0,0.0,0.0,0.0,8.0,2.0,0.0,84.0,2.0,1.0,0.0,6.0,0.0,6.0,2.0,0.0,2.0
playerstage.csv,13.0,0.0,38.0,0.0,0.0,1.0,0.0,1.0,3.0,10.0,2.0,4.0,0.0,16.0,0.0,5.0,8.0,22.0,3.0
proftp.csv,1.0,69.0,7.0,4.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,101.0,82.0,54.0,293.0,2.0,0.0,4.0
tcvp.csv,73.0,2.0,52.0,140.0,66.0,0.0,1.0,1.0,74.0,84.0,63.0,66.0,0.0,1.0,54.0,0.0,113.0,94.0,15.0
theresa.csv,1.0,0.0,12.0,2.0,0.0,0.0,1.0,0.0,0.0,16.0,1.0,0.0,1.0,82.0,2.0,2.0,10.0,17.0,16.0
uwom.csv,7.0,0.0,52.0,3.0,0.0,2.0,1.0,2.0,74.0,26.0,2.0,1.0,0.0,21.0,1.0,3.0,113.0,10.0,4.0
xapian.csv,8.0,0.0,44.0,1.0,0.0,1.0,1.0,2.0,0.0,8.0,2.0,2.0,1.0,82.0,0.0,11.0,1.0,5.0,25.0
yaprm.csv,6.0,69.0,10.0,2.0,0.0,1.0,0.0,5.0,0.0,8.0,1.0,0.0,0.0,82.0,54.0,293.0,9.0,0.0,6.0
