,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,ondex.csv,tigermud.csv,ninject.csv,hydrate.csv,cme.csv
algebsql.csv,3.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,4.0,0.0,2.0,1.0,59.0,3.0,12.0
cme.csv,109.0,0.0,456.0,49.0,79.0,96.0,67.0,2.0,114.0,81.0,195.0,0.0,59.0,0.0,0.0
hydrate.csv,0.0,1.0,1.0,0.0,0.0,1.0,4.0,2.0,4.0,1.0,12.0,2.0,10.0,2.0,11.0
ivef-sdk.csv,1.0,0.0,18.0,1.0,2.0,0.0,10.0,0.0,6.0,2.0,2.0,0.0,32.0,51.0,19.0
jmri.csv,0.0,0.0,0.0,1.0,5.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,18.0
jython.csv,1.0,0.0,18.0,1.0,2.0,1.0,10.0,1.0,6.0,0.0,2.0,0.0,33.0,3.0,24.0
kdenlive.csv,1.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,27.0,1.0,10.0
ninject.csv,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,17.0,3.0,38.0,0.0,0.0,0.0,5.0
ondex.csv,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,3.0,14.0
opentibia.csv,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,1.0,81.0,1.0,0.0,5.0,3.0,56.0
projectfactory.csv,1.0,0.0,0.0,0.0,7.0,3.0,4.0,1.0,2.0,0.0,0.0,0.0,8.0,1.0,20.0
taverna.csv,0.0,0.0,0.0,1.0,0.0,1.0,9.0,2.0,1.0,0.0,2.0,0.0,59.0,0.0,56.0
tigermud.csv,3.0,0.0,5.0,49.0,1.0,96.0,67.0,8.0,114.0,0.0,2.0,0.0,9.0,1.0,56.0
unbvision.csv,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,14.0,0.0,21.0
x-ray-mule.csv,2.0,0.0,18.0,0.0,4.0,0.0,67.0,1.0,4.0,1.0,1.0,0.0,24.0,0.0,10.0
