,lsb.csv,mcore3d.csv,yield.csv,maya-work-in-progress.csv,mscore.csv,hydrogen.csv,xemeiah.csv,virtuoso.csv,enzo.csv,xined.csv,lphant.csv,salasaga.csv,keyczar.csv,xtreemfs.csv,autowikibrowser.csv,rocrail.csv,natpad.csv
autowikibrowser.csv,6.0,0.0,1.0,0.0,0.0,8.0,5.0,4.0,0.0,3.0,1.0,29.0,0.0,3.0,1.0,1.0,6.0
enzo.csv,0.0,1.0,6.0,15.0,0.0,12.0,5.0,10.0,1.0,18.0,0.0,0.0,3.0,4.0,16.0,36.0,1.0
hydrogen.csv,1.0,0.0,8.0,0.0,1.0,1.0,1.0,33.0,0.0,52.0,0.0,61.0,62.0,6.0,15.0,21.0,1.0
keyczar.csv,8.0,2.0,9.0,8.0,0.0,115.0,5.0,181.0,0.0,52.0,4.0,184.0,0.0,1.0,8.0,4.0,1.0
lphant.csv,1.0,0.0,5.0,0.0,3.0,9.0,1.0,6.0,1.0,0.0,0.0,4.0,0.0,2.0,4.0,4.0,0.0
lsb.csv,0.0,0.0,3.0,0.0,2.0,5.0,1.0,17.0,0.0,2.0,0.0,2.0,0.0,1.0,14.0,4.0,0.0
maya-work-in-progress.csv,0.0,2.0,1.0,0.0,2.0,11.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,7.0,0.0
mcore3d.csv,1.0,0.0,0.0,1.0,1.0,4.0,6.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,11.0,5.0,0.0
mscore.csv,0.0,4.0,0.0,9.0,0.0,10.0,1.0,12.0,0.0,0.0,5.0,27.0,1.0,4.0,2.0,15.0,0.0
natpad.csv,2.0,1.0,2.0,1.0,0.0,8.0,1.0,9.0,0.0,0.0,3.0,13.0,0.0,0.0,3.0,4.0,0.0
rocrail.csv,0.0,0.0,2.0,12.0,1.0,1.0,2.0,4.0,0.0,2.0,1.0,29.0,0.0,6.0,3.0,4.0,4.0
salasaga.csv,1.0,0.0,2.0,1.0,2.0,9.0,1.0,13.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,10.0,0.0
virtuoso.csv,0.0,0.0,8.0,0.0,3.0,5.0,1.0,0.0,0.0,8.0,0.0,184.0,0.0,5.0,14.0,21.0,2.0
xemeiah.csv,0.0,3.0,0.0,0.0,0.0,17.0,0.0,9.0,2.0,0.0,1.0,9.0,0.0,4.0,1.0,9.0,0.0
xined.csv,181.0,177.0,130.0,2.0,209.0,115.0,144.0,181.0,126.0,0.0,54.0,184.0,0.0,384.0,97.0,101.0,106.0
xtreemfs.csv,1.0,1.0,1.0,0.0,2.0,4.0,2.0,11.0,0.0,0.0,9.0,5.0,1.0,3.0,4.0,5.0,0.0
yield.csv,1.0,3.0,0.0,1.0,0.0,14.0,1.0,2.0,0.0,0.0,3.0,6.0,0.0,3.0,6.0,13.0,2.0
