,plearn.csv,go.csv,lsb.csv,aubit4gl.csv,dvd-create.csv,boost-sandbox.csv,mpgravity.csv,customwars.csv,moving-pictures.csv,frogatto.csv,irplus.csv,rebecca-aiml.csv,wxcode.csv,glelite.csv
aubit4gl.csv,1.0,0.0,1.0,2.0,91.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0
boost-sandbox.csv,3.0,3.0,0.0,1.0,0.0,2.0,4.0,1.0,5.0,0.0,2.0,1.0,82.0,0.0
customwars.csv,6.0,0.0,0.0,1.0,0.0,0.0,52.0,0.0,2.0,0.0,1.0,3.0,2.0,0.0
dvd-create.csv,4.0,2.0,1.0,1.0,0.0,1.0,52.0,17.0,0.0,1.0,0.0,3.0,0.0,0.0
frogatto.csv,2.0,4.0,1.0,1.0,1.0,0.0,5.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0
glelite.csv,4.0,4.0,2.0,2.0,0.0,0.0,7.0,12.0,0.0,0.0,0.0,3.0,2.0,0.0
go.csv,2.0,0.0,1.0,2.0,0.0,2.0,0.0,19.0,3.0,4.0,2.0,61.0,20.0,0.0
irplus.csv,8.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,8.0,0.0
lsb.csv,3.0,3.0,0.0,2.0,0.0,2.0,52.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0
moving-pictures.csv,8.0,0.0,0.0,1.0,0.0,2.0,52.0,15.0,1.0,4.0,0.0,2.0,10.0,0.0
mpgravity.csv,3.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,4.0,2.0,2.0,2.0,0.0,0.0
plearn.csv,4.0,0.0,47.0,0.0,3.0,1.0,5.0,1.0,4.0,2.0,0.0,3.0,0.0,0.0
rebecca-aiml.csv,0.0,1.0,0.0,1.0,0.0,0.0,52.0,20.0,0.0,0.0,1.0,1.0,31.0,0.0
wxcode.csv,13.0,0.0,0.0,5.0,0.0,1.0,0.0,4.0,3.0,0.0,1.0,31.0,0.0,0.0
